,sorted,mapping
0,-42.05036926269531,-29.500794601440433
1,-42.02049255371094,-28.90079460144043
2,-41.97283935546875,-28.60079460144043
3,-41.87164306640625,-28.60079460144043
4,-41.74717712402344,-28.40079460144043
5,-41.524383544921875,-28.20079460144043
6,-41.19183349609375,-28.20079460144043
7,-41.02589416503906,-28.20079460144043
8,-40.757537841796875,-28.10079460144043
9,-40.69767761230469,-28.10079460144043
10,-40.68983459472656,-28.10079460144043
11,-40.68585205078125,-27.90079460144043
12,-40.67649841308594,-27.90079460144043
13,-40.653045654296875,-27.90079460144043
14,-40.615753173828125,-27.90079460144043
15,-40.513641357421875,-27.90079460144043
16,-40.49896240234375,-27.80079460144043
17,-40.49839782714844,-27.70079460144043
18,-40.48719787597656,-27.70079460144043
19,-40.480926513671875,-27.70079460144043
20,-40.43768310546875,-27.70079460144043
21,-40.31292724609375,-27.70079460144043
22,-40.23579406738281,-27.70079460144043
23,-40.203521728515625,-27.70079460144043
24,-40.15478515625,-27.70079460144043
25,-40.134185791015625,-27.60079460144043
26,-40.0711669921875,-27.60079460144043
27,-40.05592346191406,-27.60079460144043
28,-40.02626037597656,-27.60079460144043
29,-39.81463623046875,-27.60079460144043
30,-39.778106689453125,-27.60079460144043
31,-39.73976135253906,-27.60079460144043
32,-39.673431396484375,-27.50079460144043
33,-39.66020202636719,-27.50079460144043
34,-39.655120849609375,-27.50079460144043
35,-39.61578369140625,-27.50079460144043
36,-39.595367431640625,-27.50079460144043
37,-39.57627868652344,-27.50079460144043
38,-39.57279968261719,-27.50079460144043
39,-39.56446838378906,-27.50079460144043
40,-39.418304443359375,-27.40079460144043
41,-39.385345458984375,-27.40079460144043
42,-39.37312316894531,-27.40079460144043
43,-39.317779541015625,-27.40079460144043
44,-39.21159362792969,-27.40079460144043
45,-39.2064208984375,-27.40079460144043
46,-39.17530822753906,-27.40079460144043
47,-39.145843505859375,-27.40079460144043
48,-39.13133239746094,-27.40079460144043
49,-39.10760498046875,-27.40079460144043
50,-39.100799560546875,-27.40079460144043
51,-39.0618896484375,-27.40079460144043
52,-39.02476501464844,-27.40079460144043
53,-38.98313903808594,-27.40079460144043
54,-38.95497131347656,-27.40079460144043
55,-38.93879699707031,-27.30079460144043
56,-38.93721008300781,-27.30079460144043
57,-38.929931640625,-27.30079460144043
58,-38.913330078125,-27.20079460144043
59,-38.902801513671875,-27.20079460144043
60,-38.88468933105469,-27.20079460144043
61,-38.867462158203125,-27.20079460144043
62,-38.841339111328125,-27.20079460144043
63,-38.775848388671875,-27.20079460144043
64,-38.77372741699219,-27.20079460144043
65,-38.76405334472656,-27.20079460144043
66,-38.73057556152344,-27.10079460144043
67,-38.68577575683594,-27.10079460144043
68,-38.64976501464844,-27.10079460144043
69,-38.6064453125,-27.10079460144043
70,-38.562744140625,-27.10079460144043
71,-38.55165100097656,-27.10079460144043
72,-38.54307556152344,-27.00079460144043
73,-38.46275329589844,-27.00079460144043
74,-38.45930480957031,-26.90079460144043
75,-38.435943603515625,-26.90079460144043
76,-38.43084716796875,-26.90079460144043
77,-38.396514892578125,-26.90079460144043
78,-38.38298034667969,-26.90079460144043
79,-38.36875915527344,-26.80079460144043
80,-38.36712646484375,-26.80079460144043
81,-38.35551452636719,-26.80079460144043
82,-38.345245361328125,-26.80079460144043
83,-38.319122314453125,-26.80079460144043
84,-38.29736328125,-26.80079460144043
85,-38.24908447265625,-26.70079460144043
86,-38.22828674316406,-26.70079460144043
87,-38.20713806152344,-26.70079460144043
88,-38.18537902832031,-26.70079460144043
89,-38.149322509765625,-26.70079460144043
90,-38.14109802246094,-26.70079460144043
91,-38.13368225097656,-26.70079460144043
92,-38.12413024902344,-26.60079460144043
93,-38.11029052734375,-26.60079460144043
94,-38.09710693359375,-26.60079460144043
95,-38.0867919921875,-26.60079460144043
96,-38.06266784667969,-26.60079460144043
97,-38.058349609375,-26.50079460144043
98,-38.052703857421875,-26.50079460144043
99,-38.04974365234375,-26.50079460144043
100,-38.031341552734375,-26.50079460144043
101,-38.002288818359375,-26.40079460144043
102,-38.00067138671875,-26.40079460144043
103,-37.989715576171875,-26.40079460144043
104,-37.986419677734375,-26.40079460144043
105,-37.96525573730469,-26.40079460144043
106,-37.960601806640625,-26.40079460144043
107,-37.9493408203125,-26.30079460144043
108,-37.94281005859375,-26.30079460144043
109,-37.909515380859375,-26.30079460144043
110,-37.85960388183594,-26.30079460144043
111,-37.85650634765625,-26.30079460144043
112,-37.83905029296875,-26.20079460144043
113,-37.837615966796875,-26.20079460144043
114,-37.81866455078125,-26.20079460144043
115,-37.77177429199219,-26.20079460144043
116,-37.76304626464844,-26.20079460144043
117,-37.74261474609375,-26.20079460144043
118,-37.70988464355469,-26.20079460144043
119,-37.699249267578125,-26.20079460144043
120,-37.665130615234375,-26.10079460144043
121,-37.658966064453125,-26.10079460144043
122,-37.65888977050781,-26.10079460144043
123,-37.60870361328125,-26.00079460144043
124,-37.60469055175781,-26.00079460144043
125,-37.583251953125,-26.00079460144043
126,-37.57861328125,-26.00079460144043
127,-37.501678466796875,-26.00079460144043
128,-37.48533630371094,-26.00079460144043
129,-37.43450927734375,-25.90079460144043
130,-37.433013916015625,-25.90079460144043
131,-37.40638732910156,-25.90079460144043
132,-37.367034912109375,-25.90079460144043
133,-37.347076416015625,-25.90079460144043
134,-37.32820129394531,-25.90079460144043
135,-37.27653503417969,-25.80079460144043
136,-37.244598388671875,-25.80079460144043
137,-37.19395446777344,-25.80079460144043
138,-37.18281555175781,-25.80079460144043
139,-37.18133544921875,-25.70079460144043
140,-37.15324401855469,-25.70079460144043
141,-37.14776611328125,-25.70079460144043
142,-37.142791748046875,-25.70079460144043
143,-37.0911865234375,-25.70079460144043
144,-37.087127685546875,-25.60079460144043
145,-37.06755065917969,-25.60079460144043
146,-37.063720703125,-25.60079460144043
147,-37.033416748046875,-25.60079460144043
148,-37.02337646484375,-25.60079460144043
149,-37.014923095703125,-25.60079460144043
150,-36.99147033691406,-25.60079460144043
151,-36.987640380859375,-25.60079460144043
152,-36.982330322265625,-25.60079460144043
153,-36.97853088378906,-25.50079460144043
154,-36.97578430175781,-25.50079460144043
155,-36.961822509765625,-25.40079460144043
156,-36.95811462402344,-25.40079460144043
157,-36.934906005859375,-25.40079460144043
158,-36.92893981933594,-25.40079460144043
159,-36.926727294921875,-25.40079460144043
160,-36.8929443359375,-25.40079460144043
161,-36.88597106933594,-25.40079460144043
162,-36.8802490234375,-25.40079460144043
163,-36.87504577636719,-25.40079460144043
164,-36.869293212890625,-25.40079460144043
165,-36.8345947265625,-25.30079460144043
166,-36.81414794921875,-25.30079460144043
167,-36.804656982421875,-25.30079460144043
168,-36.785064697265625,-25.30079460144043
169,-36.767547607421875,-25.20079460144043
170,-36.76165771484375,-25.20079460144043
171,-36.75933837890625,-25.20079460144043
172,-36.75041198730469,-25.20079460144043
173,-36.74037170410156,-25.20079460144043
174,-36.73612976074219,-25.20079460144043
175,-36.73388671875,-25.10079460144043
176,-36.731292724609375,-25.10079460144043
177,-36.72944641113281,-25.00079460144043
178,-36.72428894042969,-25.00079460144043
179,-36.7174072265625,-25.00079460144043
180,-36.71452331542969,-25.00079460144043
181,-36.69166564941406,-25.00079460144043
182,-36.686737060546875,-25.00079460144043
183,-36.680694580078125,-25.00079460144043
184,-36.67878723144531,-24.90079460144043
185,-36.66752624511719,-24.90079460144043
186,-36.66304016113281,-24.90079460144043
187,-36.655609130859375,-24.90079460144043
188,-36.64790344238281,-24.90079460144043
189,-36.645050048828125,-24.90079460144043
190,-36.62898254394531,-24.90079460144043
191,-36.61279296875,-24.90079460144043
192,-36.59721374511719,-24.90079460144043
193,-36.59303283691406,-24.90079460144043
194,-36.56367492675781,-24.90079460144043
195,-36.56294250488281,-24.90079460144043
196,-36.53099060058594,-24.90079460144043
197,-36.528076171875,-24.90079460144043
198,-36.5240478515625,-24.90079460144043
199,-36.515960693359375,-24.80079460144043
200,-36.515350341796875,-24.80079460144043
201,-36.51005554199219,-24.80079460144043
202,-36.50602722167969,-24.80079460144043
203,-36.499755859375,-24.80079460144043
204,-36.49560546875,-24.80079460144043
205,-36.48966979980469,-24.80079460144043
206,-36.48936462402344,-24.80079460144043
207,-36.484405517578125,-24.80079460144043
208,-36.47613525390625,-24.80079460144043
209,-36.46893310546875,-24.80079460144043
210,-36.46372985839844,-24.70079460144043
211,-36.45745849609375,-24.70079460144043
212,-36.442779541015625,-24.70079460144043
213,-36.40315246582031,-24.70079460144043
214,-36.33380126953125,-24.70079460144043
215,-36.32496643066406,-24.70079460144043
216,-36.31422424316406,-24.70079460144043
217,-36.29986572265625,-24.70079460144043
218,-36.29554748535156,-24.70079460144043
219,-36.29545593261719,-24.70079460144043
220,-36.294677734375,-24.70079460144043
221,-36.276580810546875,-24.70079460144043
222,-36.27604675292969,-24.70079460144043
223,-36.2685546875,-24.70079460144043
224,-36.25396728515625,-24.60079460144043
225,-36.249420166015625,-24.60079460144043
226,-36.24693298339844,-24.60079460144043
227,-36.23907470703125,-24.60079460144043
228,-36.226715087890625,-24.60079460144043
229,-36.21794128417969,-24.60079460144043
230,-36.209014892578125,-24.60079460144043
231,-36.207000732421875,-24.50079460144043
232,-36.202423095703125,-24.50079460144043
233,-36.18342590332031,-24.50079460144043
234,-36.17692565917969,-24.50079460144043
235,-36.16242980957031,-24.50079460144043
236,-36.15763854980469,-24.50079460144043
237,-36.14501953125,-24.40079460144043
238,-36.144378662109375,-24.40079460144043
239,-36.110260009765625,-24.40079460144043
240,-36.104644775390625,-24.40079460144043
241,-36.094146728515625,-24.40079460144043
242,-36.056610107421875,-24.40079460144043
243,-36.04835510253906,-24.40079460144043
244,-36.04747009277344,-24.40079460144043
