,sorted,mapping
0,-37.1611328125,-36.21050937652588
1,-37.00532531738281,-36.10050937652588
2,-36.941162109375,-34.48050937652588
3,-36.42485046386719,-34.33050937652588
4,-36.38783264160156,-33.30050937652588
5,-35.52186584472656,-32.16050937652588
6,-35.469757080078125,-32.14050937652588
7,-34.647186279296875,-31.710509376525877
8,-34.20127868652344,-28.99050937652588
9,-33.960662841796875,-28.83050937652588
10,-33.55427551269531,-28.52050937652588
11,-33.547271728515625,-28.51050937652588
12,-33.43675231933594,-28.360509376525876
13,-33.43290710449219,-28.13050937652588
14,-33.42298889160156,-27.710509376525877
15,-33.26271057128906,-27.66050937652588
16,-33.255523681640625,-27.390509376525877
17,-33.16082763671875,-27.250509376525876
18,-33.0521240234375,-27.09050937652588
19,-33.00825500488281,-26.58050937652588
20,-32.8748779296875,-26.350509376525878
21,-32.8116455078125,-25.900509376525882
22,-32.78642272949219,-25.820509376525877
23,-32.56111145019531,-25.76050937652588
24,-32.284088134765625,-25.430509376525876
25,-32.087890625,-25.41050937652588
26,-32.02679443359375,-25.140509376525877
27,-31.57073974609375,-25.09050937652588
28,-31.47735595703125,-24.98050937652588
29,-31.277511596679688,-24.890509376525877
30,-31.27703857421875,-24.84050937652588
31,-30.926956176757812,-24.77050937652588
32,-30.771820068359375,-24.74050937652588
33,-30.761642456054688,-24.74050937652588
34,-30.723114013671875,-24.58050937652588
35,-30.667190551757812,-24.56050937652588
36,-30.601119995117188,-24.55050937652588
37,-30.52142333984375,-24.30050937652588
38,-30.49371337890625,-24.26050937652588
39,-30.443649291992188,-24.210509376525877
40,-30.429611206054688,-24.20050937652588
41,-30.404922485351562,-24.19050937652588
42,-30.374313354492188,-24.180509376525876
43,-30.3741455078125,-24.100509376525878
44,-30.361557006835938,-24.08050937652588
45,-30.185333251953125,-24.06050937652588
46,-29.907272338867188,-24.01050937652588
47,-29.8201904296875,-23.95050937652588
48,-29.744537353515625,-23.890509376525877
49,-29.49395751953125,-23.750509376525876
50,-29.058670043945312,-23.70050937652588
51,-28.35028076171875,-23.680509376525876
52,-28.132781982421875,-23.670509376525878
53,-27.853378295898438,-23.62050937652588
54,-27.715896606445312,-23.58050937652588
55,-27.709213256835938,-23.530509376525877
56,-27.295196533203125,-23.37050937652588
57,-27.266738891601562,-23.37050937652588
58,-27.234161376953125,-23.250509376525876
59,-27.110626220703125,-23.140509376525877
60,-27.086578369140625,-23.13050937652588
61,-26.9691162109375,-23.110509376525876
62,-26.886123657226562,-23.09050937652588
63,-26.841888427734375,-23.08050937652588
64,-26.67779541015625,-23.08050937652588
65,-26.520660400390625,-23.06050937652588
66,-26.442031860351562,-22.95050937652588
67,-26.36395263671875,-22.94050937652588
68,-26.341903686523438,-22.820509376525877
69,-25.88232421875,-22.81050937652588
70,-25.852584838867188,-22.790509376525875
71,-25.776397705078125,-22.750509376525876
72,-25.744064331054688,-22.74050937652588
73,-25.699905395507812,-22.69050937652588
74,-25.662857055664062,-22.55050937652588
75,-25.375228881835938,-22.530509376525877
76,-25.268020629882812,-22.45050937652588
77,-25.256027221679688,-22.43050937652588
78,-25.221786499023438,-22.350509376525878
79,-25.21051025390625,-22.350509376525878
80,-25.196121215820312,-22.330509376525878
81,-25.18243408203125,-22.22050937652588
82,-25.172958374023438,-22.16050937652588
83,-25.15216064453125,-21.98050937652588
84,-25.146942138671875,-21.95050937652588
85,-25.118820190429688,-21.95050937652588
86,-25.113021850585938,-21.830509376525878
87,-25.10455322265625,-21.830509376525878
88,-25.098953247070312,-21.830509376525878
89,-25.034378051757812,-21.82050937652588
90,-24.992340087890625,-21.780509376525877
91,-24.940338134765625,-21.710509376525877
92,-24.888656616210938,-21.66050937652588
93,-24.884674072265625,-21.65050937652588
94,-24.871612548828125,-21.65050937652588
95,-24.852737426757812,-21.64050937652588
96,-24.747879028320312,-21.620509376525877
97,-24.728790283203125,-21.620509376525877
98,-24.716262817382812,-21.600509376525878
99,-24.710708618164062,-21.38050937652588
100,-24.7100830078125,-21.370509376525877
101,-24.668548583984375,-21.280509376525877
102,-24.659271240234375,-21.27050937652588
103,-24.623611450195312,-21.20050937652588
104,-24.58233642578125,-21.18050937652588
105,-24.570068359375,-21.14050937652588
106,-24.547378540039062,-21.14050937652588
107,-24.5325927734375,-21.13050937652588
108,-24.383590698242188,-21.100509376525878
109,-24.334426879882812,-21.09050937652588
110,-24.308197021484375,-21.05050937652588
111,-24.211517333984375,-21.02050937652588
112,-24.200851440429688,-20.98050937652588
113,-24.137954711914062,-20.95050937652588
114,-24.082595825195312,-20.93050937652588
115,-24.066726684570312,-20.920509376525878
116,-24.033935546875,-20.89050937652588
117,-23.947067260742188,-20.870509376525877
118,-23.911529541015625,-20.850509376525878
119,-23.8209228515625,-20.780509376525877
120,-23.809616088867188,-20.73050937652588
121,-23.686569213867188,-20.72050937652588
122,-23.665634155273438,-20.690509376525878
123,-23.625015258789062,-20.68050937652588
124,-23.612152099609375,-20.670509376525878
125,-23.41064453125,-20.600509376525878
126,-23.392349243164062,-20.580509376525878
127,-23.3878173828125,-20.57050937652588
128,-23.348556518554688,-20.530509376525877
129,-23.297836303710938,-20.49050937652588
130,-23.267929077148438,-20.420509376525878
131,-23.267074584960938,-20.420509376525878
132,-23.262298583984375,-20.39050937652588
133,-23.25823974609375,-20.330509376525878
134,-23.1915283203125,-20.29050937652588
135,-23.17022705078125,-20.27050937652588
136,-23.168243408203125,-20.27050937652588
137,-23.128768920898438,-20.260509376525878
138,-23.125030517578125,-20.25050937652588
139,-23.099166870117188,-20.25050937652588
140,-23.071060180664062,-20.23050937652588
141,-23.067367553710938,-20.20050937652588
