,sorted,mapping
0,-37.1611328125,-40.221780376434324
1,-37.00532531738281,-40.111780376434325
2,-36.941162109375,-38.49178037643433
3,-36.42485046386719,-38.34178037643433
4,-36.38783264160156,-37.31178037643433
5,-35.52186584472656,-36.17178037643433
6,-35.469757080078125,-36.151780376434324
7,-34.647186279296875,-35.721780376434324
8,-34.20127868652344,-33.001780376434326
9,-33.960662841796875,-32.84178037643433
10,-33.55427551269531,-32.53178037643433
11,-33.547271728515625,-32.52178037643433
12,-33.43675231933594,-32.37178037643432
13,-33.43290710449219,-32.141780376434326
14,-33.42298889160156,-31.721780376434324
15,-33.26271057128906,-31.671780376434327
16,-33.255523681640625,-31.401780376434324
17,-33.16082763671875,-31.261780376434324
18,-33.0521240234375,-31.101780376434327
19,-33.00825500488281,-30.59178037643433
20,-32.8748779296875,-30.361780376434325
21,-32.8116455078125,-29.91178037643433
22,-32.78642272949219,-29.831780376434324
23,-32.56111145019531,-29.77178037643433
24,-32.284088134765625,-29.441780376434323
25,-32.087890625,-29.421780376434327
26,-32.02679443359375,-29.151780376434324
27,-31.57073974609375,-29.101780376434327
28,-31.47735595703125,-28.991780376434328
29,-31.277511596679688,-28.901780376434324
30,-31.27703857421875,-28.851780376434327
31,-30.926956176757812,-28.781780376434327
32,-30.771820068359375,-28.751780376434326
33,-30.761642456054688,-28.751780376434326
34,-30.723114013671875,-28.59178037643433
35,-30.667190551757812,-28.571780376434326
36,-30.601119995117188,-28.561780376434328
37,-30.52142333984375,-28.311780376434328
38,-30.49371337890625,-28.27178037643433
39,-30.443649291992188,-28.221780376434324
40,-30.429611206054688,-28.211780376434326
41,-30.404922485351562,-28.20178037643433
42,-30.374313354492188,-28.191780376434323
43,-30.3741455078125,-28.111780376434325
44,-30.361557006835938,-28.09178037643433
45,-30.185333251953125,-28.071780376434326
46,-29.907272338867188,-28.02178037643433
47,-29.8201904296875,-27.961780376434326
48,-29.744537353515625,-27.901780376434324
49,-29.49395751953125,-27.761780376434324
50,-29.058670043945312,-27.711780376434326
51,-28.35028076171875,-27.691780376434323
52,-28.132781982421875,-27.681780376434325
53,-27.853378295898438,-27.631780376434328
54,-27.715896606445312,-27.59178037643433
55,-27.709213256835938,-27.541780376434325
56,-27.295196533203125,-27.381780376434328
57,-27.266738891601562,-27.381780376434328
58,-27.234161376953125,-27.261780376434324
59,-27.110626220703125,-27.151780376434324
60,-27.086578369140625,-27.141780376434326
61,-26.9691162109375,-27.121780376434323
62,-26.886123657226562,-27.101780376434327
63,-26.841888427734375,-27.09178037643433
64,-26.67779541015625,-27.09178037643433
65,-26.520660400390625,-27.071780376434326
66,-26.442031860351562,-26.961780376434326
67,-26.36395263671875,-26.95178037643433
68,-26.341903686523438,-26.831780376434324
69,-25.88232421875,-26.821780376434326
70,-25.852584838867188,-26.801780376434323
71,-25.776397705078125,-26.761780376434324
72,-25.744064331054688,-26.751780376434326
73,-25.699905395507812,-26.70178037643433
74,-25.662857055664062,-26.561780376434328
75,-25.375228881835938,-26.541780376434325
76,-25.268020629882812,-26.461780376434326
77,-25.256027221679688,-26.441780376434327
78,-25.221786499023438,-26.361780376434325
79,-25.21051025390625,-26.361780376434325
80,-25.196121215820312,-26.341780376434325
81,-25.18243408203125,-26.231780376434326
82,-25.172958374023438,-26.171780376434327
83,-25.15216064453125,-25.991780376434328
84,-25.146942138671875,-25.961780376434326
85,-25.118820190429688,-25.961780376434326
86,-25.113021850585938,-25.841780376434325
87,-25.10455322265625,-25.841780376434325
88,-25.098953247070312,-25.841780376434325
89,-25.034378051757812,-25.831780376434327
90,-24.992340087890625,-25.791780376434325
91,-24.940338134765625,-25.721780376434324
92,-24.888656616210938,-25.671780376434327
93,-24.884674072265625,-25.661780376434326
94,-24.871612548828125,-25.661780376434326
95,-24.852737426757812,-25.651780376434328
96,-24.747879028320312,-25.631780376434325
97,-24.728790283203125,-25.631780376434325
98,-24.716262817382812,-25.611780376434325
99,-24.710708618164062,-25.391780376434326
100,-24.7100830078125,-25.381780376434325
101,-24.668548583984375,-25.291780376434325
102,-24.659271240234375,-25.281780376434327
103,-24.623611450195312,-25.211780376434326
104,-24.58233642578125,-25.191780376434327
105,-24.570068359375,-25.151780376434328
106,-24.547378540039062,-25.151780376434328
107,-24.5325927734375,-25.141780376434326
108,-24.383590698242188,-25.111780376434325
109,-24.334426879882812,-25.101780376434327
110,-24.308197021484375,-25.061780376434328
111,-24.211517333984375,-25.031780376434327
112,-24.200851440429688,-24.991780376434328
113,-24.137954711914062,-24.961780376434326
114,-24.082595825195312,-24.941780376434327
115,-24.066726684570312,-24.931780376434325
116,-24.033935546875,-24.901780376434328
117,-23.947067260742188,-24.881780376434325
118,-23.911529541015625,-24.861780376434325
119,-23.8209228515625,-24.791780376434325
120,-23.809616088867188,-24.741780376434328
121,-23.686569213867188,-24.731780376434326
122,-23.665634155273438,-24.701780376434325
123,-23.625015258789062,-24.691780376434327
124,-23.612152099609375,-24.681780376434325
125,-23.41064453125,-24.611780376434325
126,-23.392349243164062,-24.591780376434325
127,-23.3878173828125,-24.581780376434327
128,-23.348556518554688,-24.541780376434325
129,-23.297836303710938,-24.501780376434326
130,-23.267929077148438,-24.431780376434325
131,-23.267074584960938,-24.431780376434325
132,-23.262298583984375,-24.401780376434328
133,-23.25823974609375,-24.341780376434325
134,-23.1915283203125,-24.301780376434326
135,-23.17022705078125,-24.281780376434327
136,-23.168243408203125,-24.281780376434327
137,-23.128768920898438,-24.271780376434325
138,-23.125030517578125,-24.261780376434327
139,-23.099166870117188,-24.261780376434327
140,-23.071060180664062,-24.241780376434328
141,-23.067367553710938,-24.211780376434326
142,-23.056488037109375,-24.191780376434327
143,-23.054763793945312,-24.181780376434325
144,-23.047225952148438,-24.171780376434327
145,-23.011947631835938,-24.171780376434327
146,-22.979415893554688,-24.101780376434327
147,-22.972122192382812,-24.081780376434327
148,-22.958160400390625,-24.081780376434327
149,-22.941818237304688,-24.071780376434326
150,-22.926544189453125,-24.041780376434325
151,-22.918426513671875,-24.041780376434325
152,-22.903060913085938,-24.021780376434325
153,-22.867477416992188,-24.001780376434326
154,-22.865447998046875,-23.981780376434326
155,-22.836151123046875,-23.981780376434326
156,-22.815536499023438,-23.971780376434324
157,-22.800628662109375,-23.951780376434325
158,-22.782089233398438,-23.951780376434325
159,-22.760543823242188,-23.941780376434327
160,-22.752655029296875,-23.931780376434325
161,-22.749435424804688,-23.921780376434327
162,-22.735260009765625,-23.901780376434328
163,-22.728500366210938,-23.881780376434325
164,-22.69573974609375,-23.871780376434327
165,-22.676498413085938,-23.851780376434327
166,-22.668212890625,-23.841780376434325
167,-22.667572021484375,-23.811780376434328
168,-22.659194946289062,-23.801780376434326
169,-22.6263427734375,-23.801780376434326
170,-22.59100341796875,-23.771780376434325
171,-22.543960571289062,-23.731780376434326
172,-22.539276123046875,-23.711780376434326
173,-22.53765869140625,-23.671780376434327
174,-22.5250244140625,-23.651780376434328
175,-22.479278564453125,-23.611780376434325
176,-22.478317260742188,-23.611780376434325
177,-22.468902587890625,-23.591780376434325
178,-22.46563720703125,-23.561780376434328
179,-22.448150634765625,-23.531780376434327
180,-22.434188842773438,-23.511780376434327
181,-22.427993774414062,-23.471780376434324
182,-22.427810668945312,-23.461780376434326
183,-22.423065185546875,-23.441780376434327
184,-22.411407470703125,-23.381780376434325
185,-22.401473999023438,-23.371780376434327
186,-22.373016357421875,-23.341780376434325
187,-22.372268676757812,-23.321780376434326
188,-22.352996826171875,-23.291780376434325
189,-22.347610473632812,-23.251780376434326
190,-22.34246826171875,-23.211780376434326
191,-22.328811645507812,-23.201780376434325
192,-22.294219970703125,-23.191780376434327
193,-22.2713623046875,-23.181780376434325
194,-22.26898193359375,-23.181780376434325
195,-22.255401611328125,-23.141780376434326
196,-22.255157470703125,-23.121780376434327
197,-22.253936767578125,-23.071780376434326
198,-22.182785034179688,-23.071780376434326
199,-22.1776123046875,-23.051780376434326
200,-22.113739013671875,-23.021780376434325
201,-22.108184814453125,-23.011780376434327
202,-22.08099365234375,-22.991780376434328
203,-22.063232421875,-22.971780376434324
204,-22.050735473632812,-22.971780376434324
205,-22.029449462890625,-22.941780376434327
206,-22.0225830078125,-22.891780376434326
207,-22.01702880859375,-22.891780376434326
208,-22.001480102539062,-22.871780376434327
209,-22.00030517578125,-22.871780376434327
210,-21.989944458007812,-22.861780376434325
211,-21.985931396484375,-22.841780376434325
212,-21.985321044921875,-22.781780376434327
213,-21.983901977539062,-22.771780376434325
214,-21.964645385742188,-22.761780376434327
215,-21.912948608398438,-22.731780376434326
216,-21.89129638671875,-22.721780376434324
217,-21.884918212890625,-22.711780376434326
218,-21.864212036132812,-22.701780376434325
219,-21.837738037109375,-22.651780376434328
220,-21.834365844726562,-22.641780376434326
221,-21.82525634765625,-22.641780376434326
222,-21.813339233398438,-22.621780376434327
223,-21.80560302734375,-22.621780376434327
224,-21.795364379882812,-22.561780376434328
225,-21.791717529296875,-22.561780376434328
226,-21.691329956054688,-22.551780376434326
227,-21.6644287109375,-22.441780376434327
228,-21.662872314453125,-22.431780376434325
229,-21.650955200195312,-22.411780376434326
230,-21.649520874023438,-22.391780376434326
231,-21.645797729492188,-22.381780376434325
232,-21.641571044921875,-22.331780376434327
233,-21.636428833007812,-22.311780376434328
234,-21.624847412109375,-22.301780376434326
235,-21.619522094726562,-22.281780376434327
236,-21.616912841796875,-22.281780376434327
237,-21.60284423828125,-22.281780376434327
238,-21.599868774414062,-22.271780376434325
239,-21.589920043945312,-22.251780376434326
240,-21.589645385742188,-22.221780376434324
241,-21.585189819335938,-22.221780376434324
242,-21.584228515625,-22.211780376434326
243,-21.574951171875,-22.191780376434327
244,-21.572097778320312,-22.131780376434325
245,-21.564971923828125,-22.121780376434327
246,-21.520431518554688,-22.081780376434327
247,-21.517669677734375,-22.041780376434325
248,-21.507095336914062,-22.041780376434325
249,-21.498336791992188,-21.961780376434326
250,-21.49664306640625,-21.931780376434325
251,-21.494888305664062,-21.931780376434325
252,-21.4913330078125,-21.911780376434326
253,-21.49114990234375,-21.901780376434328
254,-21.482559204101562,-21.881780376434325
255,-21.470916748046875,-21.831780376434327
256,-21.46099853515625,-21.811780376434328
257,-21.454574584960938,-21.791780376434325
258,-21.449081420898438,-21.761780376434327
259,-21.447860717773438,-21.761780376434327
260,-21.415908813476562,-21.731780376434326
261,-21.399932861328125,-21.691780376434327
262,-21.39990234375,-21.671780376434327
263,-21.392669677734375,-21.661780376434326
264,-21.388076782226562,-21.641780376434326
265,-21.387527465820312,-21.621780376434327
266,-21.3612060546875,-21.551780376434326
267,-21.356826782226562,-21.551780376434326
268,-21.354827880859375,-21.541780376434325
269,-21.353408813476562,-21.531780376434327
270,-21.350173950195312,-21.501780376434326
271,-21.34979248046875,-21.481780376434326
272,-21.31158447265625,-21.471780376434324
273,-21.296188354492188,-21.451780376434325
274,-21.290130615234375,-21.441780376434327
275,-21.288482666015625,-21.431780376434325
276,-21.286148071289062,-21.421780376434327
277,-21.283828735351562,-21.411780376434326
278,-21.258331298828125,-21.371780376434327
279,-21.251419067382812,-21.361780376434325
280,-21.236190795898438,-21.301780376434326
281,-21.22381591796875,-21.231780376434326
282,-21.190826416015625,-21.221780376434324
283,-21.187606811523438,-21.171780376434327
284,-21.173812866210938,-21.151780376434328
285,-21.160934448242188,-21.141780376434326
286,-21.152587890625,-21.001780376434326
287,-21.147384643554688,-20.971780376434324
288,-21.144256591796875,-20.951780376434325
289,-21.14422607421875,-20.951780376434325
290,-21.1378173828125,-20.941780376434327
291,-21.133193969726562,-20.901780376434328
292,-21.099273681640625,-20.901780376434328
293,-21.09222412109375,-20.891780376434326
294,-21.0882568359375,-20.891780376434326
295,-21.080307006835938,-20.871780376434327
296,-21.075592041015625,-20.841780376434325
297,-21.061416625976562,-20.791780376434325
298,-21.0509033203125,-20.781780376434327
299,-21.046524047851562,-20.771780376434325
300,-21.042404174804688,-20.771780376434325
301,-21.0272216796875,-20.631780376434325
302,-21.004074096679688,-20.611780376434325
303,-21.001632690429688,-20.591780376434325
304,-20.980880737304688,-20.571780376434326
305,-20.976669311523438,-20.531780376434327
306,-20.970550537109375,-20.511780376434327
307,-20.962448120117188,-20.461780376434326
308,-20.949844360351562,-20.451780376434325
309,-20.940322875976562,-20.431780376434325
310,-20.929916381835938,-20.431780376434325
311,-20.900131225585938,-20.351780376434327
312,-20.869827270507812,-20.331780376434327
313,-20.865890502929688,-20.321780376434326
314,-20.862762451171875,-20.301780376434326
315,-20.86083984375,-20.301780376434326
316,-20.860275268554688,-20.291780376434325
317,-20.847824096679688,-20.251780376434326
318,-20.839920043945312,-20.221780376434324
319,-20.816482543945312,-20.171780376434327
320,-20.798660278320312,-20.071780376434326
321,-20.796676635742188,-20.031780376434327
322,-20.793197631835938,-20.031780376434327
323,-20.786224365234375,-19.991780376434328
324,-20.782608032226562,-19.951780376434325
325,-20.773193359375,-19.931780376434325
326,-20.75634765625,-19.931780376434325
327,-20.755416870117188,-19.841780376434325
328,-20.742813110351562,-19.831780376434327
329,-20.7425537109375,-19.821780376434326
330,-20.737335205078125,-19.811780376434328
331,-20.708847045898438,-19.761780376434327
332,-20.706649780273438,-19.661780376434326
333,-20.701095581054688,-19.661780376434326
334,-20.686981201171875,-19.641780376434326
335,-20.672149658203125,-19.611780376434325
336,-20.6717529296875,-19.601780376434327
337,-20.668777465820312,-19.571780376434326
338,-20.664505004882812,-19.531780376434327
339,-20.65985107421875,-19.521780376434325
340,-20.659271240234375,-19.521780376434325
341,-20.653915405273438,-19.481780376434326
342,-20.640838623046875,-19.431780376434325
343,-20.621658325195312,-19.421780376434327
344,-20.620529174804688,-19.411780376434326
345,-20.613906860351562,-19.411780376434326
346,-20.581558227539062,-19.411780376434326
347,-20.56201171875,-19.411780376434326
348,-20.541183471679688,-19.411780376434326
349,-20.530838012695312,-19.401780376434328
350,-20.52081298828125,-19.401780376434328
351,-20.518875122070312,-19.371780376434327
352,-20.498260498046875,-19.351780376434327
353,-20.483657836914062,-19.341780376434325
354,-20.482818603515625,-19.311780376434328
355,-20.464736938476562,-19.311780376434328
356,-20.463455200195312,-19.301780376434326
357,-20.4632568359375,-19.291780376434325
358,-20.462554931640625,-19.291780376434325
359,-20.449676513671875,-19.251780376434326
360,-20.448898315429688,-19.251780376434326
361,-20.441207885742188,-19.191780376434327
362,-20.4398193359375,-19.191780376434327
363,-20.400177001953125,-19.181780376434325
364,-20.392593383789062,-19.171780376434327
365,-20.390609741210938,-19.171780376434327
366,-20.380722045898438,-19.161780376434326
367,-20.351852416992188,-19.161780376434326
368,-20.332260131835938,-19.151780376434328
369,-20.328750610351562,-19.081780376434327
370,-20.325271606445312,-19.051780376434326
371,-20.311614990234375,-19.041780376434325
372,-20.293212890625,-18.981780376434326
373,-20.284820556640625,-18.961780376434326
374,-20.284469604492188,-18.941780376434327
375,-20.28125,-18.931780376434325
376,-20.279830932617188,-18.931780376434325
377,-20.275375366210938,-18.901780376434328
378,-20.259521484375,-18.871780376434327
379,-20.25836181640625,-18.861780376434325
380,-20.251296997070312,-18.831780376434327
381,-20.229904174804688,-18.821780376434326
382,-20.226318359375,-18.801780376434326
383,-20.218338012695312,-18.801780376434326
384,-20.209365844726562,-18.801780376434326
385,-20.208969116210938,-18.791780376434325
386,-20.206390380859375,-18.771780376434325
387,-20.200927734375,-18.771780376434325
388,-20.181167602539062,-18.751780376434326
389,-20.140274047851562,-18.731780376434326
390,-20.128494262695312,-18.731780376434326
391,-20.117324829101562,-18.661780376434326
392,-20.113754272460938,-18.661780376434326
393,-20.1051025390625,-18.651780376434328
394,-20.104827880859375,-18.591780376434325
395,-20.085342407226562,-18.581780376434327
396,-20.077392578125,-18.581780376434327
397,-20.076400756835938,-18.561780376434328
398,-20.076034545898438,-18.521780376434325
399,-20.074081420898438,-18.491780376434328
400,-20.020416259765625,-18.491780376434328
401,-20.007308959960938,-18.461780376434326
402,-19.973175048828125,-18.441780376434327
403,-19.9619140625,-18.431780376434325
404,-19.959457397460938,-18.411780376434326
405,-19.948760986328125,-18.401780376434328
406,-19.94757080078125,-18.381780376434325
407,-19.941436767578125,-18.371780376434327
408,-19.925430297851562,-18.371780376434327
409,-19.906204223632812,-18.371780376434327
410,-19.894134521484375,-18.371780376434327
411,-19.890609741210938,-18.351780376434327
412,-19.883926391601562,-18.331780376434327
413,-19.8782958984375,-18.321780376434326
414,-19.854766845703125,-18.321780376434326
415,-19.849151611328125,-18.311780376434328
416,-19.83660888671875,-18.311780376434328
417,-19.835250854492188,-18.301780376434326
418,-19.776214599609375,-18.281780376434327
419,-19.744461059570312,-18.271780376434325
420,-19.742889404296875,-18.261780376434327
421,-19.737030029296875,-18.251780376434326
422,-19.7257080078125,-18.251780376434326
423,-19.7159423828125,-18.131780376434325
424,-19.677749633789062,-18.131780376434325
425,-19.6639404296875,-18.111780376434325
426,-19.663436889648438,-18.111780376434325
427,-19.656997680664062,-18.111780376434325
428,-19.614761352539062,-18.101780376434327
429,-19.605987548828125,-18.101780376434327
430,-19.605545043945312,-18.091780376434325
431,-19.596023559570312,-18.071780376434326
432,-19.595962524414062,-18.061780376434328
433,-19.594345092773438,-18.051780376434326
434,-19.592437744140625,-18.031780376434327
435,-19.59075927734375,-18.011780376434327
436,-19.580474853515625,-18.001780376434326
437,-19.579833984375,-17.991780376434328
438,-19.572738647460938,-17.991780376434328
439,-19.564788818359375,-17.971780376434324
440,-19.53094482421875,-17.951780376434325
441,-19.530899047851562,-17.941780376434327
442,-19.514175415039062,-17.931780376434325
443,-19.512786865234375,-17.911780376434326
444,-19.506927490234375,-17.911780376434326
445,-19.44439697265625,-17.901780376434328
446,-19.432510375976562,-17.881780376434325
447,-19.424453735351562,-17.871780376434327
448,-19.405975341796875,-17.841780376434325
449,-19.3734130859375,-17.841780376434325
450,-19.37298583984375,-17.831780376434327
451,-19.368301391601562,-17.821780376434326
452,-19.358734130859375,-17.811780376434328
453,-19.347396850585938,-17.801780376434326
454,-19.334854125976562,-17.801780376434326
455,-19.334136962890625,-17.791780376434325
456,-19.327255249023438,-17.791780376434325
