,sorted,mapping
0,-37.1611328125,-39.093430278813074
1,-37.00532531738281,-38.983430278813074
2,-36.941162109375,-37.36343027881308
3,-36.42485046386719,-37.21343027881308
4,-36.38783264160156,-36.18343027881308
5,-35.52186584472656,-35.04343027881308
6,-35.469757080078125,-35.02343027881307
7,-34.647186279296875,-34.593430278813074
8,-34.20127868652344,-31.873430278813075
9,-33.960662841796875,-31.713430278813078
10,-33.55427551269531,-31.403430278813076
11,-33.547271728515625,-31.393430278813078
12,-33.43675231933594,-31.243430278813072
13,-33.43290710449219,-31.013430278813075
14,-33.42298889160156,-30.593430278813074
15,-33.26271057128906,-30.543430278813076
16,-33.255523681640625,-30.273430278813073
17,-33.16082763671875,-30.133430278813073
18,-33.0521240234375,-29.973430278813076
19,-33.00825500488281,-29.463430278813078
20,-32.8748779296875,-29.233430278813074
21,-32.8116455078125,-28.78343027881308
22,-32.78642272949219,-28.703430278813073
23,-32.56111145019531,-28.643430278813078
24,-32.284088134765625,-28.313430278813073
25,-32.087890625,-28.293430278813076
26,-32.02679443359375,-28.023430278813073
27,-31.57073974609375,-27.973430278813076
28,-31.47735595703125,-27.863430278813077
29,-31.277511596679688,-27.773430278813073
30,-31.27703857421875,-27.723430278813076
31,-30.926956176757812,-27.653430278813076
32,-30.771820068359375,-27.623430278813075
33,-30.761642456054688,-27.623430278813075
34,-30.723114013671875,-27.463430278813078
35,-30.667190551757812,-27.443430278813075
36,-30.601119995117188,-27.433430278813077
37,-30.52142333984375,-27.183430278813077
38,-30.49371337890625,-27.143430278813078
39,-30.443649291992188,-27.093430278813074
40,-30.429611206054688,-27.083430278813076
41,-30.404922485351562,-27.073430278813078
42,-30.374313354492188,-27.063430278813073
43,-30.3741455078125,-26.983430278813074
44,-30.361557006835938,-26.963430278813078
45,-30.185333251953125,-26.943430278813075
46,-29.907272338867188,-26.893430278813078
47,-29.8201904296875,-26.833430278813076
48,-29.744537353515625,-26.773430278813073
