,sorted,mapping
0,-37.1611328125,-38.3727003097923
1,-37.00532531738281,-38.2627003097923
2,-36.941162109375,-36.6427003097923
3,-36.42485046386719,-36.492700309792305
4,-36.38783264160156,-35.462700309792304
5,-35.52186584472656,-34.3227003097923
6,-35.469757080078125,-34.3027003097923
7,-34.647186279296875,-33.8727003097923
8,-34.20127868652344,-31.1527003097923
9,-33.960662841796875,-30.992700309792305
10,-33.55427551269531,-30.682700309792303
11,-33.547271728515625,-30.672700309792305
12,-33.43675231933594,-30.5227003097923
13,-33.43290710449219,-30.292700309792302
14,-33.42298889160156,-29.8727003097923
15,-33.26271057128906,-29.822700309792303
16,-33.255523681640625,-29.5527003097923
17,-33.16082763671875,-29.4127003097923
18,-33.0521240234375,-29.252700309792303
19,-33.00825500488281,-28.742700309792305
20,-32.8748779296875,-28.5127003097923
21,-32.8116455078125,-28.062700309792305
22,-32.78642272949219,-27.9827003097923
23,-32.56111145019531,-27.922700309792305
24,-32.284088134765625,-27.5927003097923
25,-32.087890625,-27.572700309792303
26,-32.02679443359375,-27.3027003097923
27,-31.57073974609375,-27.252700309792303
28,-31.47735595703125,-27.142700309792303
29,-31.277511596679688,-27.0527003097923
30,-31.27703857421875,-27.002700309792303
31,-30.926956176757812,-26.932700309792303
32,-30.771820068359375,-26.9027003097923
33,-30.761642456054688,-26.9027003097923
34,-30.723114013671875,-26.742700309792305
35,-30.667190551757812,-26.7227003097923
36,-30.601119995117188,-26.712700309792304
37,-30.52142333984375,-26.462700309792304
38,-30.49371337890625,-26.422700309792305
39,-30.443649291992188,-26.3727003097923
40,-30.429611206054688,-26.362700309792302
41,-30.404922485351562,-26.352700309792304
42,-30.374313354492188,-26.3427003097923
43,-30.3741455078125,-26.2627003097923
44,-30.361557006835938,-26.242700309792305
45,-30.185333251953125,-26.2227003097923
46,-29.907272338867188,-26.172700309792305
47,-29.8201904296875,-26.112700309792302
48,-29.744537353515625,-26.0527003097923
49,-29.49395751953125,-25.9127003097923
50,-29.058670043945312,-25.862700309792302
51,-28.35028076171875,-25.8427003097923
52,-28.132781982421875,-25.8327003097923
53,-27.853378295898438,-25.782700309792304
54,-27.715896606445312,-25.742700309792305
55,-27.709213256835938,-25.6927003097923
56,-27.295196533203125,-25.532700309792304
57,-27.266738891601562,-25.532700309792304
58,-27.234161376953125,-25.4127003097923
59,-27.110626220703125,-25.3027003097923
60,-27.086578369140625,-25.292700309792302
61,-26.9691162109375,-25.2727003097923
62,-26.886123657226562,-25.252700309792303
63,-26.841888427734375,-25.242700309792305
64,-26.67779541015625,-25.242700309792305
65,-26.520660400390625,-25.2227003097923
66,-26.442031860351562,-25.112700309792302
67,-26.36395263671875,-25.102700309792304
68,-26.341903686523438,-24.9827003097923
69,-25.88232421875,-24.9727003097923
70,-25.852584838867188,-24.9527003097923
71,-25.776397705078125,-24.9127003097923
72,-25.744064331054688,-24.9027003097923
73,-25.699905395507812,-24.852700309792304
74,-25.662857055664062,-24.712700309792304
75,-25.375228881835938,-24.6927003097923
76,-25.268020629882812,-24.612700309792302
77,-25.256027221679688,-24.592700309792306
78,-25.221786499023438,-24.5127003097923
79,-25.21051025390625,-24.5127003097923
80,-25.196121215820312,-24.492700309792305
81,-25.18243408203125,-24.382700309792305
82,-25.172958374023438,-24.322700309792303
83,-25.15216064453125,-24.142700309792303
84,-25.146942138671875,-24.112700309792302
85,-25.118820190429688,-24.112700309792302
