,sorted,mapping
0,-31.872024536132812,-22.125
1,-31.819564819335938,-22.05
2,-31.71527099609375,-21.625
3,-31.613113403320312,-21.475
4,-31.382461547851562,-21.45
5,-31.2857666015625,-21.425
6,-31.27783203125,-21.375
7,-31.191619873046875,-21.275
8,-31.121994018554688,-21.25
9,-30.96331787109375,-21.25
10,-30.843185424804688,-21.2
11,-30.72149658203125,-21.175
12,-30.695037841796875,-21.175
13,-30.440643310546875,-20.875
14,-30.42938232421875,-20.825
15,-30.07525634765625,-20.825
16,-29.99566650390625,-20.825
17,-29.930023193359375,-20.6
18,-29.719207763671875,-20.6
19,-29.7138671875,-20.525
20,-29.4910888671875,-20.35
21,-29.197677612304688,-20.275
22,-29.142120361328125,-20.25
23,-29.0843505859375,-20.25
24,-28.981979370117188,-20.225
25,-28.81256103515625,-20.125
26,-28.779830932617188,-20.1
27,-28.74346923828125,-20.1
28,-28.623565673828125,-20.075
29,-28.596054077148438,-20.0
30,-28.360549926757812,-19.925
31,-28.279998779296875,-19.9
32,-28.03656005859375,-19.875
33,-27.882675170898438,-19.85
34,-27.878387451171875,-19.825
35,-27.641387939453125,-19.8
36,-27.429855346679688,-19.8
37,-27.35308837890625,-19.8
38,-27.325027465820312,-19.775
39,-27.271438598632812,-19.7
40,-27.229049682617188,-19.65
41,-27.16387939453125,-19.525
42,-27.100509643554688,-19.425
43,-26.95562744140625,-19.4
44,-26.945480346679688,-19.375
45,-26.883132934570312,-19.35
46,-26.836532592773438,-19.35
47,-26.765838623046875,-19.325
48,-26.68585205078125,-19.25
49,-26.668441772460938,-19.25
50,-26.618194580078125,-19.225
51,-26.569747924804688,-19.2
52,-26.55682373046875,-19.2
53,-26.530136108398438,-19.075
54,-26.493499755859375,-19.0
55,-26.451263427734375,-18.95
56,-26.434326171875,-18.9
57,-26.330978393554688,-18.875
58,-26.238555908203125,-18.825
59,-26.204071044921875,-18.8
60,-26.150848388671875,-18.8
61,-26.025863647460938,-18.775
62,-25.952728271484375,-18.75
63,-25.922882080078125,-18.7
64,-25.920364379882812,-18.7
65,-25.917953491210938,-18.7
66,-25.90704345703125,-18.7
67,-25.850814819335938,-18.675
68,-25.787429809570312,-18.675
69,-25.785354614257812,-18.65
70,-25.726974487304688,-18.575
71,-25.6966552734375,-18.55
72,-25.693679809570312,-18.525
73,-25.690673828125,-18.525
74,-25.682144165039062,-18.375
75,-25.660293579101562,-18.375
76,-25.568099975585938,-18.375
77,-25.530059814453125,-18.375
78,-25.527603149414062,-18.35
79,-25.515838623046875,-18.325
80,-25.478500366210938,-18.325
81,-25.475982666015625,-18.325
82,-25.45257568359375,-18.325
83,-25.451263427734375,-18.325
84,-25.446884155273438,-18.325
85,-25.4295654296875,-18.225
86,-25.408340454101562,-18.225
87,-25.377410888671875,-18.225
88,-25.304519653320312,-18.2
89,-25.297012329101562,-18.2
90,-25.19677734375,-18.15
91,-25.19488525390625,-18.125
92,-25.1820068359375,-18.075
93,-25.153305053710938,-18.075
94,-25.14044189453125,-17.975
95,-25.115142822265625,-17.95
96,-25.086395263671875,-17.875
97,-25.050582885742188,-17.875
98,-25.033523559570312,-17.85
99,-24.992095947265625,-17.825
100,-24.910934448242188,-17.8
101,-24.815841674804688,-17.75
102,-24.799118041992188,-17.7
103,-24.788803100585938,-17.675
104,-24.703231811523438,-17.65
105,-24.696334838867188,-17.65
106,-24.692474365234375,-17.65
107,-24.691146850585938,-17.65
108,-24.680557250976562,-17.65
109,-24.631210327148438,-17.625
110,-24.630081176757812,-17.575
111,-24.628341674804688,-17.55
112,-24.591217041015625,-17.55
113,-24.572052001953125,-17.55
114,-24.565826416015625,-17.525
115,-24.5357666015625,-17.5
116,-24.504531860351562,-17.475
117,-24.48382568359375,-17.475
118,-24.393524169921875,-17.425
119,-24.392364501953125,-17.4
120,-24.340072631835938,-17.375
121,-24.288742065429688,-17.375
122,-24.202911376953125,-17.35
123,-24.140838623046875,-17.35
124,-24.05950927734375,-17.325
125,-24.058517456054688,-17.25
126,-24.03759765625,-17.25
127,-24.017578125,-17.25
128,-24.014511108398438,-17.2
129,-23.780319213867188,-17.2
130,-23.77630615234375,-17.175
131,-23.741561889648438,-17.175
132,-23.675384521484375,-17.150000000000002
133,-23.650604248046875,-17.125
134,-23.59039306640625,-17.125
135,-23.558242797851562,-17.1
136,-23.534759521484375,-17.075
137,-23.411483764648438,-17.075
138,-23.3472900390625,-17.05
139,-23.339599609375,-17.05
140,-23.272247314453125,-17.05
141,-23.260467529296875,-17.05
142,-23.235198974609375,-17.05
143,-23.213485717773438,-17.025
144,-23.19915771484375,-17.025
145,-23.1373291015625,-17.025
146,-23.0736083984375,-17.025
147,-23.066864013671875,-17.025
148,-23.012466430664062,-17.0
149,-23.010177612304688,-16.975
150,-22.948776245117188,-16.974999999999998
151,-22.94085693359375,-16.95
152,-22.91302490234375,-16.95
153,-22.862533569335938,-16.925
154,-22.8240966796875,-16.925
155,-22.7493896484375,-16.924999999999997
156,-22.71783447265625,-16.924999999999997
157,-22.655532836914062,-16.9
158,-22.640121459960938,-16.9
159,-22.62017822265625,-16.9
160,-22.619033813476562,-16.9
161,-22.593673706054688,-16.9
162,-22.541275024414062,-16.875
163,-22.537704467773438,-16.875
164,-22.537445068359375,-16.875
165,-22.520294189453125,-16.875
166,-22.508743286132812,-16.875
167,-22.493881225585938,-16.875
168,-22.483840942382812,-16.875
169,-22.475753784179688,-16.85
170,-22.448257446289062,-16.85
171,-22.411376953125,-16.849999999999998
172,-22.402389526367188,-16.825
173,-22.381378173828125,-16.825
174,-22.356842041015625,-16.825
175,-22.320541381835938,-16.825
176,-22.303253173828125,-16.8
177,-22.28375244140625,-16.775
178,-22.272994995117188,-16.775
179,-22.2606201171875,-16.775
180,-22.2586669921875,-16.775
181,-22.256973266601562,-16.75
182,-22.201187133789062,-16.75
183,-22.171737670898438,-16.725
184,-22.115798950195312,-16.725
185,-22.102615356445312,-16.725
186,-22.0972900390625,-16.7
187,-22.069869995117188,-16.7
188,-22.065216064453125,-16.7
189,-21.98406982421875,-16.7
190,-21.979583740234375,-16.675
191,-21.955230712890625,-16.675
192,-21.92657470703125,-16.675
193,-21.906951904296875,-16.675
194,-21.893966674804688,-16.675
195,-21.888641357421875,-16.65
196,-21.867630004882812,-16.65
197,-21.851776123046875,-16.65
198,-21.79205322265625,-16.65
199,-21.738006591796875,-16.65
200,-21.723678588867188,-16.625
201,-21.7230224609375,-16.625
202,-21.709884643554688,-16.6
203,-21.701812744140625,-16.6
204,-21.695510864257812,-16.6
205,-21.689468383789062,-16.6
206,-21.685546875,-16.6
207,-21.679061889648438,-16.6
208,-21.673080444335938,-16.575
209,-21.6513671875,-16.575
210,-21.649078369140625,-16.575
211,-21.617385864257812,-16.575
212,-21.605331420898438,-16.55
213,-21.60089111328125,-16.55
214,-21.58978271484375,-16.55
215,-21.580352783203125,-16.5
216,-21.560653686523438,-16.5
217,-21.559967041015625,-16.5
218,-21.539901733398438,-16.475
219,-21.533416748046875,-16.475
220,-21.504165649414062,-16.475
221,-21.478271484375,-16.45
222,-21.443771362304688,-16.45
223,-21.431228637695312,-16.45
224,-21.429946899414062,-16.45
225,-21.426849365234375,-16.45
226,-21.422195434570312,-16.4
227,-21.41943359375,-16.4
228,-21.4144287109375,-16.375
229,-21.397415161132812,-16.375
230,-21.381256103515625,-16.375
231,-21.371932983398438,-16.375
232,-21.367385864257812,-16.375
233,-21.36553955078125,-16.35
234,-21.345962524414062,-16.325000000000003
235,-21.341690063476562,-16.325
236,-21.32916259765625,-16.325
237,-21.324295043945312,-16.3
238,-21.295440673828125,-16.3
239,-21.284088134765625,-16.275
240,-21.278778076171875,-16.25
241,-21.271392822265625,-16.25
242,-21.223281860351562,-16.225
243,-21.21466064453125,-16.225
244,-21.18951416015625,-16.225
245,-21.173843383789062,-16.200000000000003
246,-21.120132446289062,-16.2
247,-21.115509033203125,-16.2
248,-21.10821533203125,-16.2
249,-21.107025146484375,-16.175
250,-21.097259521484375,-16.175
251,-21.079666137695312,-16.174999999999997
252,-21.072677612304688,-16.15
253,-21.070205688476562,-16.15
254,-21.037322998046875,-16.15
255,-21.010284423828125,-16.15
256,-20.989837646484375,-16.125
257,-20.979293823242188,-16.125
258,-20.977645874023438,-16.1
259,-20.930526733398438,-16.1
260,-20.886962890625,-16.075
261,-20.8819580078125,-16.075
262,-20.870376586914062,-16.05
263,-20.854522705078125,-16.05
264,-20.765365600585938,-16.05
265,-20.72589111328125,-16.05
266,-20.725326538085938,-16.025
267,-20.686843872070312,-16.025
268,-20.663238525390625,-16.025
269,-20.645065307617188,-16.0
270,-20.636077880859375,-16.0
271,-20.603790283203125,-16.0
272,-20.592453002929688,-16.0
273,-20.57855224609375,-15.975
274,-20.568328857421875,-15.975
275,-20.523971557617188,-15.975
276,-20.515594482421875,-15.975
277,-20.490936279296875,-15.975
278,-20.4150390625,-15.975
279,-20.320877075195312,-15.95
280,-20.19757080078125,-15.95
281,-20.179153442382812,-15.95
282,-20.168930053710938,-15.95
283,-20.147567749023438,-15.925
284,-20.131088256835938,-15.925
285,-20.126373291015625,-15.925
286,-20.073165893554688,-15.925
287,-20.054214477539062,-15.9
288,-20.0377197265625,-15.9
289,-20.010238647460938,-15.9
290,-19.991546630859375,-15.9
291,-19.990875244140625,-15.9
292,-19.983795166015625,-15.875
293,-19.933929443359375,-15.875
294,-19.928115844726562,-15.875
295,-19.901931762695312,-15.85
296,-19.869903564453125,-15.85
297,-19.818161010742188,-15.825
298,-19.81719970703125,-15.825
299,-19.796676635742188,-15.825
300,-19.763824462890625,-15.825
301,-19.7581787109375,-15.825
302,-19.715179443359375,-15.8
303,-19.651031494140625,-15.775
304,-19.598541259765625,-15.775
305,-19.581390380859375,-15.775
306,-19.575210571289062,-15.75
307,-19.573257446289062,-15.75
308,-19.541336059570312,-15.75
309,-19.532058715820312,-15.75
310,-19.502044677734375,-15.725
311,-19.485549926757812,-15.725
312,-19.41387939453125,-15.7
313,-19.410110473632812,-15.7
314,-19.365798950195312,-15.7
315,-19.354095458984375,-15.7
316,-19.344406127929688,-15.7
317,-19.336090087890625,-15.65
318,-19.319717407226562,-15.65
319,-19.29888916015625,-15.65
320,-19.291213989257812,-15.65
321,-19.235549926757812,-15.65
