,sorted,mapping
0,-37.1611328125,-45.58
1,-37.00532531738281,-45.47
2,-36.941162109375,-43.85
3,-36.42485046386719,-43.7
4,-36.38783264160156,-42.67
5,-35.52186584472656,-41.53
6,-35.469757080078125,-41.51
7,-34.647186279296875,-41.08
8,-34.20127868652344,-38.36
9,-33.960662841796875,-38.2
10,-33.55427551269531,-37.89
11,-33.547271728515625,-37.88
12,-33.43675231933594,-37.73
13,-33.43290710449219,-37.5
14,-33.42298889160156,-37.08
15,-33.26271057128906,-37.03
16,-33.255523681640625,-36.76
17,-33.16082763671875,-36.62
18,-33.0521240234375,-36.46
19,-33.00825500488281,-35.95
20,-32.8748779296875,-35.72
21,-32.8116455078125,-35.27
22,-32.78642272949219,-35.19
23,-32.56111145019531,-35.13
24,-32.284088134765625,-34.8
25,-32.087890625,-34.78
26,-32.02679443359375,-34.51
27,-31.57073974609375,-34.46
28,-31.47735595703125,-34.35
29,-31.277511596679688,-34.26
30,-31.27703857421875,-34.21
31,-30.926956176757812,-34.14
32,-30.771820068359375,-34.11
33,-30.761642456054688,-34.11
34,-30.723114013671875,-33.95
35,-30.667190551757812,-33.93
36,-30.601119995117188,-33.92
37,-30.52142333984375,-33.67
38,-30.49371337890625,-33.63
39,-30.443649291992188,-33.58
40,-30.429611206054688,-33.57
41,-30.404922485351562,-33.56
42,-30.374313354492188,-33.55
43,-30.3741455078125,-33.47
44,-30.361557006835938,-33.45
45,-30.185333251953125,-33.43
46,-29.907272338867188,-33.38
47,-29.8201904296875,-33.32
48,-29.744537353515625,-33.26
49,-29.49395751953125,-33.12
50,-29.058670043945312,-33.07
51,-28.35028076171875,-33.05
52,-28.132781982421875,-33.04
53,-27.853378295898438,-32.99
54,-27.715896606445312,-32.95
55,-27.709213256835938,-32.9
56,-27.295196533203125,-32.74
57,-27.266738891601562,-32.74
58,-27.234161376953125,-32.62
59,-27.110626220703125,-32.51
60,-27.086578369140625,-32.5
61,-26.9691162109375,-32.48
62,-26.886123657226562,-32.46
63,-26.841888427734375,-32.45
64,-26.67779541015625,-32.45
65,-26.520660400390625,-32.43
66,-26.442031860351562,-32.32
67,-26.36395263671875,-32.31
68,-26.341903686523438,-32.19
69,-25.88232421875,-32.18
70,-25.852584838867188,-32.16
71,-25.776397705078125,-32.12
72,-25.744064331054688,-32.11
73,-25.699905395507812,-32.06
74,-25.662857055664062,-31.92
75,-25.375228881835938,-31.9
76,-25.268020629882812,-31.82
77,-25.256027221679688,-31.8
78,-25.221786499023438,-31.72
79,-25.21051025390625,-31.72
80,-25.196121215820312,-31.7
81,-25.18243408203125,-31.59
82,-25.172958374023438,-31.53
83,-25.15216064453125,-31.35
