,sorted,mapping
0,-27.561004638671875,-27.2
1,-27.496429443359375,-27.2
2,-27.445770263671875,-27.1
3,-27.445144653320312,-27.0
4,-27.389450073242188,-26.9
5,-27.343170166015625,-26.6
6,-27.31805419921875,-26.6
7,-27.251358032226562,-26.4
8,-27.245559692382812,-26.3
9,-27.231857299804688,-26.2
10,-27.218017578125,-26.2
11,-27.210311889648438,-26.2
12,-27.173538208007812,-26.2
13,-27.166290283203125,-26.1
14,-27.12322998046875,-26.1
15,-27.046096801757812,-26.1
16,-27.040283203125,-26.1
17,-27.034637451171875,-26.1
18,-27.025833129882812,-26.1
19,-26.93768310546875,-26.0
20,-26.927627563476562,-26.0
21,-26.823272705078125,-26.0
22,-26.794265747070312,-25.9
23,-26.732757568359375,-25.9
24,-26.576400756835938,-25.9
25,-26.521087646484375,-25.8
26,-26.520736694335938,-25.8
27,-26.50238037109375,-25.8
28,-26.465118408203125,-25.8
29,-26.422927856445312,-25.8
30,-26.394744873046875,-25.8
31,-26.391891479492188,-25.8
32,-26.371414184570312,-25.8
33,-26.342681884765625,-25.8
34,-26.309432983398438,-25.7
35,-26.294891357421875,-25.7
36,-26.282318115234375,-25.7
37,-26.212326049804688,-25.7
38,-26.199874877929688,-25.7
39,-26.196792602539062,-25.6
40,-26.159042358398438,-25.6
41,-26.14990234375,-25.6
42,-26.143051147460938,-25.6
43,-26.134902954101562,-25.6
44,-26.123367309570312,-25.6
45,-26.095321655273438,-25.5
46,-26.03704833984375,-25.4
47,-26.015914916992188,-25.4
48,-26.0157470703125,-25.4
49,-26.009536743164062,-25.4
50,-25.989471435546875,-25.3
51,-25.960037231445312,-25.3
52,-25.944778442382812,-25.3
53,-25.940704345703125,-25.3
54,-25.90509033203125,-25.3
55,-25.887680053710938,-25.3
56,-25.878067016601562,-25.3
57,-25.875259399414062,-25.3
58,-25.855270385742188,-25.3
59,-25.823684692382812,-25.2
60,-25.727020263671875,-25.2
61,-25.726242065429688,-25.2
62,-25.68914794921875,-25.1
63,-25.685577392578125,-25.1
64,-25.652664184570312,-25.1
65,-25.641098022460938,-25.1
66,-25.625274658203125,-25.1
67,-25.61370849609375,-25.0
68,-25.524765014648438,-25.0
