,sorted,mapping
0,-32.7750244140625,-22.86991834640503
1,-32.53517150878906,-22.769918346405028
2,-32.33387756347656,-22.66991834640503
3,-32.32084655761719,-22.66991834640503
4,-32.209716796875,-22.56991834640503
5,-32.2052001953125,-22.56991834640503
6,-32.18418884277344,-22.46991834640503
7,-32.13018798828125,-22.46991834640503
8,-32.125640869140625,-22.36991834640503
9,-32.0814208984375,-22.16991834640503
10,-32.00799560546875,-22.06991834640503
11,-31.919326782226562,-21.96991834640503
12,-31.877365112304688,-21.96991834640503
13,-31.85955810546875,-21.769918346405028
14,-31.8521728515625,-21.769918346405028
15,-31.843536376953125,-21.66991834640503
16,-31.783981323242188,-21.66991834640503
17,-31.781570434570312,-21.66991834640503
18,-31.718231201171875,-21.66991834640503
19,-31.71307373046875,-21.66991834640503
20,-31.581817626953125,-21.66991834640503
21,-31.511734008789062,-21.46991834640503
22,-31.428466796875,-21.46991834640503
23,-31.375076293945312,-21.46991834640503
24,-31.35015869140625,-21.36991834640503
25,-31.325241088867188,-21.36991834640503
26,-31.271011352539062,-21.36991834640503
27,-31.166473388671875,-21.36991834640503
28,-31.136474609375,-21.269918346405028
29,-30.878036499023438,-21.269918346405028
30,-30.844818115234375,-21.269918346405028
31,-30.669692993164062,-21.269918346405028
32,-30.65606689453125,-21.16991834640503
33,-30.6334228515625,-21.16991834640503
34,-30.609146118164062,-21.16991834640503
35,-30.397262573242188,-21.16991834640503
36,-30.281219482421875,-21.06991834640503
37,-30.257369995117188,-21.06991834640503
38,-30.195602416992188,-21.06991834640503
39,-30.040145874023438,-21.06991834640503
40,-29.835113525390625,-21.06991834640503
41,-29.750839233398438,-21.06991834640503
42,-29.725997924804688,-20.96991834640503
43,-29.692306518554688,-20.96991834640503
44,-29.643341064453125,-20.86991834640503
45,-29.6270751953125,-20.86991834640503
46,-29.573745727539062,-20.769918346405028
47,-29.535324096679688,-20.769918346405028
48,-29.47637939453125,-20.769918346405028
49,-29.420913696289062,-20.769918346405028
50,-29.338485717773438,-20.66991834640503
51,-29.320281982421875,-20.66991834640503
52,-29.24163818359375,-20.56991834640503
53,-29.124557495117188,-20.46991834640503
54,-29.121551513671875,-20.46991834640503
55,-28.973251342773438,-20.46991834640503
56,-28.85992431640625,-20.46991834640503
57,-28.834197998046875,-20.46991834640503
58,-28.736846923828125,-20.36991834640503
59,-28.715118408203125,-20.36991834640503
60,-28.664810180664062,-20.36991834640503
61,-28.584869384765625,-20.269918346405028
62,-28.472564697265625,-20.269918346405028
63,-28.468948364257812,-20.269918346405028
64,-28.371688842773438,-20.16991834640503
65,-28.332778930664062,-20.16991834640503
66,-28.284454345703125,-20.06991834640503
67,-28.195281982421875,-19.96991834640503
68,-28.18975830078125,-19.96991834640503
69,-28.141876220703125,-19.96991834640503
70,-28.123077392578125,-19.96991834640503
71,-28.121917724609375,-19.86991834640503
72,-28.037216186523438,-19.769918346405028
73,-28.024932861328125,-19.769918346405028
74,-27.99652099609375,-19.769918346405028
75,-27.870590209960938,-19.769918346405028
76,-27.846206665039062,-19.66991834640503
77,-27.742294311523438,-19.66991834640503
78,-27.708770751953125,-19.66991834640503
79,-27.683853149414062,-19.66991834640503
80,-27.632217407226562,-19.56991834640503
81,-27.6246337890625,-19.56991834640503
82,-27.61248779296875,-19.46991834640503
83,-27.38751220703125,-19.46991834640503
84,-27.38592529296875,-19.46991834640503
85,-27.349777221679688,-19.36991834640503
86,-27.329345703125,-19.36991834640503
87,-27.2589111328125,-19.36991834640503
88,-27.17242431640625,-19.269918346405028
89,-27.110641479492188,-19.269918346405028
90,-27.096694946289062,-19.269918346405028
91,-27.030014038085938,-19.269918346405028
92,-27.014999389648438,-19.269918346405028
93,-26.999969482421875,-19.269918346405028
94,-26.949417114257812,-19.269918346405028
95,-26.946945190429688,-19.16991834640503
96,-26.840377807617188,-19.16991834640503
97,-26.806365966796875,-19.16991834640503
98,-26.742431640625,-19.16991834640503
99,-26.713485717773438,-19.16991834640503
100,-26.707489013671875,-19.16991834640503
101,-26.696823120117188,-19.16991834640503
102,-26.682113647460938,-19.06991834640503
103,-26.64300537109375,-19.06991834640503
104,-26.62750244140625,-19.06991834640503
105,-26.614700317382812,-19.06991834640503
106,-26.600204467773438,-19.06991834640503
107,-26.596420288085938,-19.06991834640503
108,-26.531402587890625,-19.06991834640503
109,-26.522232055664062,-18.96991834640503
110,-26.517562866210938,-18.96991834640503
111,-26.511581420898438,-18.96991834640503
112,-26.508880615234375,-18.96991834640503
113,-26.452651977539062,-18.96991834640503
114,-26.449630737304688,-18.96991834640503
115,-26.440887451171875,-18.96991834640503
116,-26.388641357421875,-18.96991834640503
117,-26.379226684570312,-18.96991834640503
118,-26.338409423828125,-18.96991834640503
119,-26.290725708007812,-18.96991834640503
120,-26.271530151367188,-18.86991834640503
121,-26.263092041015625,-18.86991834640503
122,-26.179931640625,-18.86991834640503
