,sorted,mapping
0,-32.7750244140625,-26.0
1,-32.53517150878906,-25.9
2,-32.33387756347656,-25.8
3,-32.32084655761719,-25.8
4,-32.209716796875,-25.7
5,-32.2052001953125,-25.7
6,-32.18418884277344,-25.6
7,-32.13018798828125,-25.6
8,-32.125640869140625,-25.5
9,-32.0814208984375,-25.3
10,-32.00799560546875,-25.2
11,-31.919326782226562,-25.1
12,-31.877365112304688,-25.1
13,-31.85955810546875,-24.9
14,-31.8521728515625,-24.9
15,-31.843536376953125,-24.8
16,-31.783981323242188,-24.8
17,-31.781570434570312,-24.8
18,-31.718231201171875,-24.8
19,-31.71307373046875,-24.8
20,-31.581817626953125,-24.8
21,-31.511734008789062,-24.6
22,-31.428466796875,-24.6
23,-31.375076293945312,-24.6
24,-31.35015869140625,-24.5
25,-31.325241088867188,-24.5
26,-31.271011352539062,-24.5
27,-31.166473388671875,-24.5
28,-31.136474609375,-24.4
29,-30.878036499023438,-24.4
30,-30.844818115234375,-24.4
31,-30.669692993164062,-24.4
32,-30.65606689453125,-24.3
33,-30.6334228515625,-24.3
34,-30.609146118164062,-24.3
35,-30.397262573242188,-24.3
36,-30.281219482421875,-24.2
37,-30.257369995117188,-24.2
38,-30.195602416992188,-24.2
39,-30.040145874023438,-24.2
40,-29.835113525390625,-24.2
41,-29.750839233398438,-24.2
42,-29.725997924804688,-24.1
43,-29.692306518554688,-24.1
44,-29.643341064453125,-24.0
45,-29.6270751953125,-24.0
46,-29.573745727539062,-23.9
47,-29.535324096679688,-23.9
48,-29.47637939453125,-23.9
49,-29.420913696289062,-23.9
50,-29.338485717773438,-23.8
51,-29.320281982421875,-23.8
52,-29.24163818359375,-23.7
53,-29.124557495117188,-23.6
54,-29.121551513671875,-23.6
55,-28.973251342773438,-23.6
56,-28.85992431640625,-23.6
57,-28.834197998046875,-23.6
58,-28.736846923828125,-23.5
59,-28.715118408203125,-23.5
60,-28.664810180664062,-23.5
61,-28.584869384765625,-23.4
62,-28.472564697265625,-23.4
63,-28.468948364257812,-23.4
64,-28.371688842773438,-23.3
65,-28.332778930664062,-23.3
66,-28.284454345703125,-23.2
67,-28.195281982421875,-23.1
