,sorted,mapping
0,-16.934921264648438,-9.23
1,-16.765121459960938,-9.188333333
2,-16.534683227539062,-9.061666667
3,-16.495880126953125,-8.833333333
4,-16.135498046875,-8.693333333
5,-15.596221923828125,-8.651666667
6,-15.092636108398438,-7.9715
7,-15.033889770507812,-7.960666667
8,-14.8917236328125,-7.824
9,-14.756134033203125,-7.784833333
10,-14.729385375976562,-7.726166667
11,-14.290603637695312,-7.706
12,-14.26129150390625,-7.6965
13,-14.23297119140625,-7.6485
14,-14.16986083984375,-7.588333333
15,-14.1243896484375,-7.528166667
16,-13.69793701171875,-7.432166667
17,-13.648895263671875,-7.374333333
18,-13.412750244140625,-7.355166667
19,-13.210418701171875,-7.308666667
20,-13.198989868164062,-7.272666667
21,-13.16351318359375,-7.149166667
22,-12.756942749023438,-7.119
23,-12.66595458984375,-7.081
24,-12.649276733398438,-6.9725
25,-12.550079345703125,-6.897
26,-12.54730224609375,-6.879833333
27,-12.499984741210938,-6.8225
28,-12.488052368164062,-6.6975
29,-12.169647216796875,-6.64
30,-12.123931884765625,-6.54
31,-12.06787109375,-6.521833333
32,-11.999160766601562,-6.505666667
33,-11.994964599609375,-6.501333333
34,-11.987442016601562,-6.4225
35,-11.972320556640625,-6.400833333
36,-11.965194702148438,-6.400833333
37,-11.96087646484375,-6.394166667
38,-11.90447998046875,-6.369333333
39,-11.87860107421875,-6.296666667
40,-11.847747802734375,-6.2705
41,-11.842697143554688,-6.224166667
42,-11.814865112304688,-6.209166667
43,-11.699859619140625,-6.1745
44,-11.689163208007812,-6.158333333
45,-11.669296264648438,-6.158333333
46,-11.599822998046875,-6.029666667
47,-11.57666015625,-6.0125
48,-11.544281005859375,-6.009
49,-11.538421630859375,-5.9075
50,-11.53289794921875,-5.9045
51,-11.48583984375,-5.883833333
52,-11.483169555664062,-5.883166667
53,-11.460586547851562,-5.860333333
54,-11.459014892578125,-5.859333333
55,-11.39111328125,-5.836833333
56,-11.370925903320312,-5.8365
57,-11.294921875,-5.809
58,-11.28009033203125,-5.778666667
59,-11.275634765625,-5.763666667
60,-11.18017578125,-5.719666667
61,-11.176605224609375,-5.698166667
62,-11.160400390625,-5.697166667
63,-11.14471435546875,-5.692
64,-11.037918090820312,-5.689333333
65,-11.037872314453125,-5.6835
66,-10.931015014648438,-5.666833333
67,-10.9012451171875,-5.658
68,-10.889495849609375,-5.656333333
69,-10.828964233398438,-5.649666667
70,-10.826934814453125,-5.640333333
71,-10.825775146484375,-5.620333333
72,-10.789886474609375,-5.617833333
73,-10.742507934570312,-5.594166667
74,-10.71136474609375,-5.588833333
75,-10.663818359375,-5.5585
76,-10.645187377929688,-5.546333333
77,-10.639068603515625,-5.536166667
78,-10.63787841796875,-5.534166667
