,tp,bcdry,LWin,SWin,sp,dustwet,ocwet,tcc,temp,dustdry,uwind,ocdry,bcwet,rh
2024-04-20 00:00:00,0.0,2.6923484e-14,691616.2,1.9674e+06,87929.27,0.0,0.0,0.0,0.7224121,4.773959e-13,0.5707587,1.6919914e-13,0.0,71.90165
2024-04-20 01:00:00,7.395511e-24,1.6778872e-14,695579.8,1.57635e+06,87900.125,0.0,0.0,0.00031375984,0.77801514,3.0531133e-13,0.5538764,1.0522396e-13,0.0,70.316734
2024-04-20 02:00:00,3.4410713e-22,1.10646804e-14,700773.25,1.1223e+06,87855.164,0.0,0.0,0.0062408447,0.72946167,2.0627944e-13,0.5453769,6.9671184e-14,0.0,69.06527
2024-04-20 03:00:00,6.2529687e-24,9.359595e-15,705255.9,648675.0,87802.734,0.0,0.0,0.00028979778,0.48007202,1.7874591e-13,0.63664454,5.901714e-14,0.0,69.47793
2024-04-20 04:00:00,0.0,8.445534e-15,708707.06,223931.25,87747.73,0.0,0.0,0.0,-0.47982788,1.6431301e-13,0.89283955,5.301372e-14,0.0,63.335842
2024-04-20 05:00:00,0.0,7.649001e-15,710518.75,7085.742,87710.55,0.0,0.0,0.0,-2.4756165,1.5026869e-13,1.2049595,4.7817622e-14,0.0,49.594833
2024-04-20 06:00:00,0.0,7.1991024e-15,710594.5,0.0,87677.516,0.0,0.0,0.0,-3.573578,1.4266366e-13,1.4495811,4.497791e-14,0.0,43.421192
2024-04-20 07:00:00,0.0,7.0794095e-15,709052.7,0.0,87640.37,0.0,0.0,0.0,-4.345154,1.4133139e-13,1.6006796,4.413139e-14,0.0,41.947548
2024-04-20 08:00:00,0.0,7.0864322e-15,707074.4,0.0,87601.25,0.0,0.0,0.0,-5.0279236,1.428302e-13,1.651444,4.393773e-14,0.0,42.50022
2024-04-20 09:00:00,0.0,7.0585907e-15,705360.5,0.0,87573.8,0.0,0.0,0.0,-5.6269836,1.4394042e-13,1.4875443,4.3409724e-14,0.0,43.971046
2024-04-20 10:00:00,0.0,7.2025905e-15,701313.44,0.0,87537.3,0.0,0.0,0.0,-6.347046,1.4799273e-13,1.3706365,4.3937117e-14,0.0,46.373375
2024-04-20 11:00:00,0.0,7.601612e-15,697648.56,0.0,87485.57,0.0,0.0,0.0,-7.1329956,1.56819e-13,1.347398,4.6005246e-14,0.0,49.51833
2024-04-20 12:00:00,0.0,7.851363e-15,694115.3,0.0,87419.17,0.0,0.0,0.0,-7.6130676,1.6264767e-13,1.4201822,4.728166e-14,0.0,51.799564
2024-04-20 13:00:00,0.0,7.993669e-15,690613.25,0.0,87348.695,0.0,0.0,0.0,-7.9461365,1.6614488e-13,1.5094138,4.8322874e-14,0.0,53.59066
2024-04-20 14:00:00,0.0,8.0977764e-15,687428.3,92503.125,87278.0,0.0,0.0,0.0,-8.111542,1.6847634e-13,1.5758834,4.946118e-14,0.0,55.105167
2024-04-20 15:00:00,0.0,8.348053e-15,684517.44,452250.0,87222.62,0.0,0.0,0.0,-7.5186157,1.7308377e-13,1.7618177,5.1475337e-14,0.0,56.369747
2024-04-20 16:00:00,0.0,8.604786e-15,683745.8,911925.0,87192.56,0.0,0.0,0.0,-5.849304,1.7735813e-13,1.8932264,5.334916e-14,0.0,56.892406
2024-04-20 17:00:00,0.0,1.1238821e-14,684827.25,1.37835e+06,87172.27,0.0,0.0,0.0,-3.4610596,2.2293278e-13,1.9320272,6.96453e-14,0.0,60.04383
2024-04-20 18:00:00,0.0,4.0733245e-14,687003.6,1.79955e+06,87155.055,0.0,0.0,0.0,-1.2523193,8.790746e-13,2.123013,2.524795e-13,0.0,63.183315
2024-04-20 19:00:00,0.0,6.6312936e-14,691672.7,2.1366e+06,87140.484,0.0,0.0,0.0,-0.43484497,1.4543922e-12,2.2759552,4.1014368e-13,0.0,64.356476
2024-04-20 20:00:00,0.0,5.5836134e-14,697303.3,2.3625e+06,87115.31,0.0,0.0,0.0,-0.09039307,1.2052581e-12,2.3043828,3.436314e-13,0.0,68.14323
2024-04-20 21:00:00,0.0,3.823331e-14,702468.25,2.4588e+06,87083.97,0.0,0.0,0.0,0.3211975,8.153478e-13,2.2080607,2.2926108e-13,0.0,70.518654
2024-04-20 22:00:00,0.0,2.7831924e-14,710190.06,2.4183e+06,87043.49,0.0,0.0,0.0,0.7400818,5.684342e-13,1.9159775,1.6253685e-13,0.0,72.549675
2024-04-20 23:00:00,0.0,2.3467363e-14,717461.44,2.2437e+06,86994.52,0.0,0.0,0.0,1.0282593,4.7362114e-13,1.481219,1.3594711e-13,0.0,74.91821
2024-04-21 00:00:00,0.0,2.7762559e-14,724136.9,1.9521e+06,86944.234,0.0,0.0,0.0,1.2945251,4.4309e-13,1.4318331,1.8152184e-13,0.0,73.50507
2024-04-21 01:00:00,0.0,2.2780436e-14,730676.6,1.5624e+06,86901.9,0.0,0.0,0.0,1.4779358,3.5704778e-13,1.411921,1.5221244e-13,0.0,72.28647
2024-04-21 02:00:00,0.0,1.1039848e-14,736971.4,1.11195e+06,86863.27,0.0,0.0,0.0,1.5706177,1.7930222e-13,1.3979605,7.821634e-14,0.0,71.539246
2024-04-21 03:00:00,0.0,8.673617e-15,742514.3,644850.0,86823.72,0.0,0.0,0.0,1.5195312,1.4255264e-13,1.3813553,6.342149e-14,0.0,73.546814
2024-04-21 04:00:00,0.0,8.080342e-15,747202.1,228937.5,86796.59,0.0,0.0,0.0,1.1569519,1.3228307e-13,1.4763385,5.9563465e-14,0.0,71.37159
2024-04-21 05:00:00,0.0,8.2399365e-15,750669.9,9639.844,86780.64,0.0,0.0,0.0,0.12109375,1.3106183e-13,1.8373772,6.0951244e-14,0.0,65.4191
2024-04-21 06:00:00,0.0,8.409939e-15,751859.8,0.0,86768.85,0.0,0.0,0.0,-0.91815186,1.3000712e-13,2.0954268,6.231127e-14,0.0,64.70096
2024-04-21 07:00:00,0.0,8.562595e-15,751225.56,0.0,86756.766,0.0,0.0,0.0,-1.8520203,1.2911894e-13,2.288027,6.3477e-14,0.0,65.746544
2024-04-21 08:00:00,0.0,8.680556e-15,749409.8,0.0,86755.266,0.0,0.0,0.0,-2.610199,1.2867485e-13,2.3896422,6.4143135e-14,0.0,66.657196
2024-04-21 09:00:00,0.0,8.749945e-15,746595.56,0.0,86745.586,0.0,0.0,0.0,-3.298584,1.2873036e-13,2.4858804,6.417089e-14,0.0,67.00733
2024-04-21 10:00:00,0.0,8.756884e-15,742502.3,0.0,86723.24,0.0,0.0,0.0,-3.8440247,1.2950752e-13,2.4870617,6.342149e-14,0.0,66.24022
2024-04-21 11:00:00,0.0,8.708312e-15,738575.2,0.0,86695.07,0.0,0.0,0.0,-4.145172,1.3111734e-13,2.4300494,6.206147e-14,0.0,63.901665
2024-04-21 12:00:00,0.0,8.649331e-15,734925.3,0.0,86660.164,0.0,0.0,0.0,-4.443115,1.3317125e-13,2.3588703,6.0756955e-14,0.0,60.789288
2024-04-21 13:00:00,0.0,8.6042284e-15,731763.4,5.9360504,86632.17,0.0,0.0,0.0,-4.493744,1.3494761e-13,2.290145,5.9757754e-14,0.0,56.94709
2024-04-21 14:00:00,0.0,8.552187e-15,728815.8,105496.875,86614.58,0.0,0.0,0.0,-4.3677063,1.3633539e-13,2.1819189,5.895284e-14,0.0,53.3238
2024-04-21 15:00:00,0.0,8.708312e-15,726372.4,472500.0,86612.49,0.0,0.0,0.0,-3.9929504,1.3983259e-13,2.0781476,5.970224e-14,0.0,51.74781
2024-04-21 16:00:00,0.0,1.0196705e-14,720407.3,931950.0,86619.84,0.0,0.0,0.0,-3.5325012,1.5598633e-13,1.9686382,6.963874e-14,0.0,52.28332
2024-04-21 17:00:00,2.1514638e-20,1.7243151e-14,715396.2,1.39725e+06,86646.76,0.0,0.0,0.018867493,-2.124939,2.2704061e-13,1.7537113,1.16962e-13,0.0,58.85712
2024-04-21 18:00:00,4.5096036e-19,4.55469e-14,711462.5,1.82205e+06,86678.42,0.0,0.0,0.13555908,-0.71173096,7.582823e-13,1.8484021,3.091971e-13,0.0,62.96764
2024-04-21 19:00:00,4.2876806e-19,6.7335026e-14,709264.06,2.1591e+06,86704.08,0.0,0.0,0.12411499,-0.3713379,1.1795009e-12,1.933721,4.594103e-13,0.0,65.294464
2024-04-21 20:00:00,2.2564958e-18,7.36633e-14,706934.8,2.3877e+06,86730.97,0.0,0.0,0.20910645,-0.31326294,1.2985168e-12,1.9805,5.047074e-13,0.0,70.64248
2024-04-21 21:00:00,5.117434e-18,6.253331e-14,708032.56,2.4804e+06,86759.52,0.0,0.0,0.28051758,-0.15029907,1.2740919e-12,2.0261364,3.7947423e-13,0.0,74.491714
2024-04-21 22:00:00,3.663248e-18,5.3776428e-14,708474.7,2.4426e+06,86785.49,0.0,0.0,0.20452881,0.084625244,1.0955682e-12,2.059396,3.2729375e-13,0.0,76.21041
2024-04-21 23:00:00,1.1514227e-16,4.361789e-14,705792.1,2.277e+06,86815.62,0.0,0.0,0.07437134,0.26168823,8.85514e-13,2.262183,2.63678e-13,0.0,75.79265
2024-04-22 00:00:00,2.1219137e-15,3.4208747e-14,706204.75,1.9827e+06,86842.96,0.0,0.0,0.09674072,0.28961182,7.0454753e-13,2.3364682,2.066125e-13,0.0,75.726234
2024-04-22 01:00:00,5.055956e-14,2.7748637e-14,709019.56,1.5948e+06,86867.83,0.0,0.0,0.2894287,0.19689941,6.0218497e-13,2.353086,1.7097435e-13,0.0,75.08004
2024-04-22 02:00:00,2.0932587e-12,1.913747e-14,714457.44,1.1385e+06,86896.62,0.0,0.0,0.4691162,0.0075683594,4.4686477e-13,2.3915236,1.2062573e-13,0.0,73.339966
2024-04-22 03:00:00,4.3246476e-11,1.7007229e-14,720407.56,661950.0,86916.76,0.0,0.0,0.58325195,-0.793396,4.0756287e-13,2.1019297,1.0913492e-13,0.0,77.83678
2024-04-22 04:00:00,2.6284397e-10,1.5189239e-14,731912.7,229387.5,86935.375,0.0,0.0,0.82373047,-2.7569275,3.6248782e-13,1.7665286,9.880985e-14,0.0,82.82375
2024-04-22 05:00:00,1.0408256e-09,1.3416351e-14,750606.1,12213.281,86956.96,0.0,0.0,0.94091797,-5.56662,3.1274983e-13,1.665331,8.690271e-14,0.0,81.5484
2024-04-22 06:00:00,3.5521224e-09,1.5334956e-14,759434.25,0.0,86982.6,0.0,0.0,0.94140625,-7.655487,3.389511e-13,1.7587374,1.0016987e-13,0.0,80.729164
2024-04-22 07:00:00,8.227653e-09,1.9234614e-14,758108.06,0.0,87002.8,0.0,0.0,0.94189453,-8.972565,3.9657166e-13,1.92749,1.2723156e-13,0.0,83.22198
2024-04-22 08:00:00,1.8760561e-06,2.2822022e-14,753993.4,0.0,87025.26,0.0,0.0,0.954834,-9.771881,4.4420023e-13,2.1386003,1.5443202e-13,0.0,88.12467
2024-04-22 09:00:00,6.7740675e-06,2.1850577e-14,851153.94,0.0,87061.4,0.0,0.0,0.9692383,-9.645569,4.1600057e-13,2.0135245,1.5187851e-13,0.0,90.02823
2024-04-22 10:00:00,6.6280363e-06,1.9609314e-14,859082.9,0.0,87116.1,0.0,0.0,0.91967773,-9.04538,3.709255e-13,1.8399175,1.3922198e-13,0.0,90.3832
