
=== gulkana
     h      N  cellavg mean  point mean  cellavg sd  point sd       t
   900     96        0.2272      0.2082      0.0617    0.0528   0.17s
   600    157        0.2220      0.2104      0.0488    0.0460   0.06s
   450    263        0.2213      0.2110      0.0599    0.0497   0.05s
   300    495        0.2157      0.2137      0.0488    0.0521   0.06s
   200   1031        0.2136      0.2127      0.0507    0.0514   0.05s

=== kahiltna
     h      N  cellavg mean  point mean  cellavg sd  point sd       t
   900   2009        0.2017      0.1977      0.0549    0.0515   0.07s
   600   3755        0.2008      0.1980      0.0508    0.0496   0.08s
   450   6122        0.1999      0.1985      0.0507    0.0516   0.06s
   300  12663        0.1991      0.1982      0.0513    0.0511   6.68s
   200  27358        0.1984      0.1979      0.0517    0.0518   3.09s
