GULKANA: wtd - unw = N*cov(weight, MB) is exactly what the weighting adds

        h    N       wtd       unw  cov_term  corr_w_mb  corr_w_east  wtd_east    rel_sd
1200.0000   64   -1.1170   -0.5206   -0.5964    -0.4105      -0.1561   -7.2712    0.7457
1100.0000   69   -1.1379   -0.6913   -0.4465    -0.3157      -0.2552   -8.9648    0.6626
1000.0000   90   -1.1643   -0.8983   -0.2660    -0.1694      -0.1019   -7.0062    0.7193
 950.0000   96   -1.1673   -0.8488   -0.3185    -0.2310      -0.0590   -4.0819    0.6470
 900.0000   96   -1.1593   -0.6184   -0.5409    -0.3837      -0.0404   -3.3254    0.6808
 850.0000  103   -1.1473   -0.6561   -0.4912    -0.3483      -0.1938   -5.4801    0.6719
 800.0000  107   -1.1485   -0.6926   -0.4559    -0.3325      -0.0982   -8.0569    0.6596
 750.0000  122   -1.1538   -0.4677   -0.6861    -0.4723       0.1059   -5.4364    0.7219
 700.0000  132   -1.1424   -0.7112   -0.4312    -0.3102      -0.1234   -5.4196    0.6396
 650.0000  148   -1.1400   -0.5056   -0.6344    -0.4822      -0.0308   -3.7418    0.6306
 600.0000  157   -1.1495   -0.5725   -0.5770    -0.4630      -0.0346   -6.7480    0.5844
 550.0000  178   -1.1400   -0.5763   -0.5637    -0.4387      -0.0440   -4.9704    0.6377
 500.0000  217   -1.1636   -0.6918   -0.4717    -0.4032      -0.0064   -2.8760    0.5490
 475.0000  244   -1.1500   -0.6574   -0.4926    -0.4087      -0.1030   -2.7170    0.5683
 450.0000  263   -1.1482   -0.6585   -0.4897    -0.4055      -0.0109   -1.8373    0.5643
 425.0000  298   -1.1440   -0.5457   -0.5983    -0.5138      -0.0906   -2.1777    0.5577
 400.0000  325   -1.1483   -0.6628   -0.4855    -0.4026      -0.0434   -0.8990    0.5567
 375.0000  363   -1.1403   -0.6543   -0.4860    -0.4225      -0.0448   -1.2952    0.5281
 350.0000  424   -1.1361   -0.6572   -0.4789    -0.4213      -0.0262   -0.6275    0.5220
 325.0000  450   -1.1280   -0.7298   -0.3982    -0.3875      -0.0263   -0.7641    0.4640
 300.0000  495   -1.1370   -0.7821   -0.3549    -0.3810      -0.0247   -0.5119    0.4204
 250.0000  693   -1.1341   -0.8765   -0.2575    -0.3092       0.0099   -0.4964    0.3732
 200.0000 1031   -1.1236   -0.9431   -0.1805    -0.2810      -0.0231   -0.2297    0.2865
 180.0000 1229   -1.1258   -1.0218   -0.1040    -0.1825       0.0504   -0.1524    0.2514
 150.0000 1764   -1.1255   -1.0391   -0.0865    -0.1698      -0.0376   -0.0539    0.2258
 120.0000 2720   -1.1192   -1.0887   -0.0305    -0.0753       0.0157    0.0323    0.1785
 100.0000 3880   -1.1201   -1.1127   -0.0074    -0.0221       0.0157   -0.0087    0.1475

 corr_w_mb   correlation of relative weight with MB  <- your hypothesis
 corr_w_east correlation of relative weight with easting
 wtd_east    area-weighted mean easting vs true centroid [m]
 rel_sd      spread of relative weights (0 = perfectly uniform)
