glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.661803567898243,-1.7451861579845136,-0.040739335120093756
gulkana,17.567,2.5,1100.0,69,-3.678480715917158,-2.3090150345506237,-0.05741648313900871
gulkana,17.567,2.5,1000.0,90,-3.6379661340587983,-2.88186254032522,-0.016901901280649057
gulkana,17.567,2.5,900.0,96,-3.67893594568752,-2.0487929462384886,-0.057871712909370654
gulkana,17.567,2.5,800.0,107,-3.676778274641904,-2.299582446314839,-0.055714041863754726
gulkana,17.567,2.5,700.0,132,-3.6811307212796898,-2.376920494769444,-0.060066488501540505
gulkana,17.567,2.5,650.0,148,-3.6493743360444846,-1.7318107937249412,-0.028310103266335318
gulkana,17.567,2.5,600.0,157,-3.651539408692437,-1.8793902285360184,-0.03047517591428761
gulkana,17.567,2.5,550.0,178,-3.6387057247518144,-1.8910290295723895,-0.017641491973665158
gulkana,17.567,2.5,500.0,217,-3.647322920439128,-2.195935546259252,-0.02625868766097872
gulkana,17.567,2.5,450.0,263,-3.623191686689617,-2.112247503369756,-0.002127453911467736
gulkana,17.567,2.5,400.0,325,-3.618936778866682,-2.1267112270918886,0.002127453911467292
gulkana,17.567,2.5,350.0,424,-3.6161595123040255,-2.1308062785280906,0.004904720474123714
gulkana,17.567,2.5,300.0,495,-3.5887242851328875,-2.500119887500442,0.03233994764526171
gulkana,17.567,2.5,250.0,693,-3.586140475542406,-2.8066361044328603,0.03492375723574348
gulkana,17.567,2.5,200.0,1031,-3.562951020701228,-3.00685477777148,0.05811321207692144
gulkana,17.567,2.5,175.0,1284,-3.56166952638021,-3.208871400414301,0.05939470639793942
gulkana,17.567,2.5,150.0,1764,-3.5463303344800465,-3.279858702858316,0.07473389829810273
gulkana,17.567,2.5,125.0,2488,-3.537257043522533,-3.446072541660184,0.08380718925561625
gulkana,17.567,2.5,100.0,3880,-3.5242429774664594,-3.5019279712125795,0.09682125531168984
gulkana,17.567,2.5,90.0,4797,-3.5209057329446045,-3.525969454351375,0.10015849983354475
gulkana,17.567,2.5,80.0,6075,-3.517784738222856,-3.537407874895791,0.10327949455529328
