glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.661803567898243,-1.7451861579845136,-0.038611881208626464
gulkana,17.567,2.5,1000.0,90,-3.6379661340587983,-2.8818625403252196,-0.014774447369181765
gulkana,17.567,2.5,800.0,107,-3.676778274641904,-2.299582446314839,-0.053586587952287434
gulkana,17.567,2.5,650.0,148,-3.6493743360444846,-1.7318107937249412,-0.026182649354868026
gulkana,17.567,2.5,550.0,178,-3.6387057247518144,-1.8910290295723897,-0.015514038062197866
gulkana,17.567,2.5,450.0,263,-3.6231916866896166,-2.1122475033697556,0.0
gulkana,17.567,2.5,350.0,424,-3.6161595123040264,-2.1308062785280906,0.0070321743855901175
gulkana,17.567,2.5,250.0,693,-3.586140475542406,-2.8066361044328603,0.03705121114721077
gulkana,17.567,2.5,175.0,1284,-3.56166952638021,-3.208871400414301,0.061522160309406715
gulkana,17.567,2.5,125.0,2488,-3.5372570435225335,-3.446072541660184,0.0859346431670831
gulkana,17.567,2.5,80.0,6075,-3.517784738222856,-3.537407874895791,0.10540694846676057
