glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1100.0,69,-3.678480715917158,-2.3090150345506233,-0.059543937050476003
gulkana,17.567,2.5,900.0,96,-3.6789359456875204,-2.0487929462384886,-0.05999916682083839
gulkana,17.567,2.5,700.0,132,-3.6811307212796898,-2.3769204947694433,-0.0621939424130078
gulkana,17.567,2.5,600.0,157,-3.6515394086924364,-1.8793902285360184,-0.03260262982575446
gulkana,17.567,2.5,500.0,217,-3.6473229204391284,-2.195935546259252,-0.028386141572446455
gulkana,17.567,2.5,400.0,325,-3.618936778866682,-2.1267112270918886,0.0
gulkana,17.567,2.5,300.0,495,-3.5887242851328875,-2.500119887500442,0.03021249373379442
gulkana,17.567,2.5,200.0,1031,-3.562951020701228,-3.00685477777148,0.05598575816545415
gulkana,17.567,2.5,150.0,1764,-3.5463303344800465,-3.279858702858316,0.07260644438663544
gulkana,17.567,2.5,100.0,3880,-3.5242429774664594,-3.5019279712125795,0.09469380140022254
gulkana,17.567,2.5,90.0,4797,-3.5209057329446045,-3.525969454351375,0.09803104592207745
