glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.594065003163942,-1.69447269227531,0.0
gulkana,17.567,2.5,1000.0,90,-3.682070233672961,-2.8469843809288333,-0.08800523050901887
gulkana,17.567,2.5,800.0,107,-3.660905863049694,-2.2305089078618394,-0.06684085988575195
gulkana,17.567,2.5,600.0,157,-3.626612112049698,-1.837420522074668,-0.03254710888575607
gulkana,17.567,2.5,500.0,217,-3.663250878150168,-2.199556418560212,-0.06918587498622575
gulkana,17.567,2.5,400.0,325,-3.6018044937177685,-2.09836015573482,-0.007739490553826389
gulkana,17.567,2.5,300.0,495,-3.557126140647408,-2.4641227976639737,0.03693886251653389
gulkana,17.567,2.5,200.0,1031,-3.520768221504165,-2.9677292306753205,0.07329678165977693
gulkana,17.567,2.5,150.0,1764,-3.5167348014024284,-3.245329619852687,0.07733020176151362
gulkana,17.567,2.5,100.0,3880,-3.50467127876865,-3.482013605419119,0.08939372439529203
gulkana,17.567,2.5,80.0,6075,-3.50617002579875,-3.5238995883879687,0.08789497736519225
