glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
gulkana,17.567,2.5,1200.0,64,-3.3456113922200506,-1.559267102886088,0.019843680323825108
gulkana,17.567,2.5,1000.0,90,-3.487306983398471,-2.690613930502067,-0.12185191085459524
gulkana,17.567,2.5,800.0,107,-3.4399784970728797,-2.074594790807659,-0.07452342452900407
gulkana,17.567,2.5,700.0,132,-3.4216531679103577,-2.1301633240908697,-0.056198095366482015
gulkana,17.567,2.5,600.0,157,-3.4429921321303247,-1.7146884791554575,-0.07753705958644908
gulkana,17.567,2.5,500.0,217,-3.4851212898802006,-2.072153194857239,-0.11966621733632499
gulkana,17.567,2.5,450.0,263,-3.43908418060124,-1.972409730463965,-0.07362910805736433
gulkana,17.567,2.5,400.0,325,-3.4394018231214076,-1.9851844819695104,-0.07394675057753197
gulkana,17.567,2.5,350.0,424,-3.4029105370711745,-1.9685200139574586,-0.037455464527298865
gulkana,17.567,2.5,300.0,495,-3.405427117768637,-2.342455913189285,-0.03997204522476139
gulkana,17.567,2.5,250.0,693,-3.3967563270435917,-2.6253553410638966,-0.03130125449971599
gulkana,17.567,2.5,200.0,1031,-3.3654550725438757,-2.824737831124486,0.0
