glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.467875341209493,-1.584147331591386,0.0304625552172081
gulkana,17.567,2.5,1000.0,90,-3.4781314108942185,-2.7229929892628824,0.0202064855324826
gulkana,17.567,2.5,800.0,107,-3.510228851518629,-2.1538787352459954,-0.0118909550919283
gulkana,17.567,2.5,650.0,148,-3.4878681358765133,-1.589138779926882,0.0104697605501877
gulkana,17.567,2.5,550.0,178,-3.492361433445529,-1.7628131359149737,0.0059764629811716
gulkana,17.567,2.5,450.0,263,-3.5019902219935197,-2.003468030044354,-0.0036523255668181
gulkana,17.567,2.5,350.0,424,-3.5125286792703085,-2.037561030329424,-0.0141907828436074
gulkana,17.567,2.5,250.0,693,-3.5054750210729866,-2.730169818979835,-0.0071371246462854
gulkana,17.567,2.5,175.0,1284,-3.503771023436955,-3.151816264566163,-0.0054331270102538
gulkana,17.567,2.5,125.0,2488,-3.498337896426701,-3.4075034471372887,0.0
gulkana,17.567,2.5,80.0,6075,-3.496994192144298,-3.5171072622120727,0.0013437042824024
gulkana,17.567,2.5,1100.0,69,-3.4911437223621244,-2.145500641529758,0.0077901231850145
gulkana,17.567,2.5,900.0,96,-3.5104738086758807,-1.8882024280714909,-0.0115399631287416
gulkana,17.567,2.5,700.0,132,-3.512658736858586,-2.211307556480394,-0.0137248913114476
gulkana,17.567,2.5,600.0,157,-3.498765438973603,-1.748147823426365,0.0001684065735361
gulkana,17.567,2.5,500.0,217,-3.51093307528096,-2.079998432512244,-0.0119992297338211
gulkana,17.567,2.5,400.0,325,-3.506687157915481,-2.020720058297512,-0.0077533123683419
gulkana,17.567,2.5,300.0,495,-3.4960129771370028,-2.414705290277823,0.0029208684101362
gulkana,17.567,2.5,200.0,1031,-3.5005949550859,-2.946309567432124,-0.001661109538761
gulkana,17.567,2.5,150.0,1764,-3.498933845547139,-3.232574533340921,0.0
gulkana,17.567,2.5,100.0,3880,-3.495646479650772,-3.473617222690026,0.0032873658963676
gulkana,17.567,2.5,90.0,4797,-3.4966800157017284,-3.502229939656482,0.0022538298454106
