glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.467875341209493,-1.5841473315913859,0.030462555217208198
gulkana,17.567,2.5,1000.0,90,-3.4781314108942185,-2.7229929892628824,0.02020648553248261
gulkana,17.567,2.5,800.0,107,-3.5102288515186295,-2.1538787352459954,-0.01189095509192839
gulkana,17.567,2.5,650.0,148,-3.4878681358765133,-1.5891387799268821,0.010469760550187779
gulkana,17.567,2.5,550.0,178,-3.4923614334455295,-1.7628131359149735,0.005976462981171604
gulkana,17.567,2.5,450.0,263,-3.5019902219935193,-2.003468030044354,-0.00365232556681816
gulkana,17.567,2.5,350.0,424,-3.5125286792703085,-2.037561030329424,-0.014190782843607419
gulkana,17.567,2.5,250.0,693,-3.5054750210729866,-2.730169818979835,-0.007137124646285464
gulkana,17.567,2.5,175.0,1284,-3.503771023436955,-3.151816264566163,-0.005433127010253891
gulkana,17.567,2.5,125.0,2488,-3.498337896426701,-3.4075034471372887,0.0
gulkana,17.567,2.5,80.0,6075,-3.4969941921442986,-3.5171072622120727,0.0013437042824024914
