glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1100.0,69,-3.4911437223621244,-2.145500641529758,0.007790123185014597
gulkana,17.567,2.5,900.0,96,-3.5104738086758807,-1.8882024280714909,-0.011539963128741615
gulkana,17.567,2.5,700.0,132,-3.5126587368585866,-2.211307556480394,-0.013724891311447607
gulkana,17.567,2.5,600.0,157,-3.498765438973603,-1.748147823426365,0.00016840657353611732
gulkana,17.567,2.5,500.0,217,-3.51093307528096,-2.0799984325122436,-0.01199922973382117
gulkana,17.567,2.5,400.0,325,-3.506687157915481,-2.0207200582975116,-0.00775331236834198
gulkana,17.567,2.5,300.0,495,-3.4960129771370028,-2.414705290277823,0.002920868410136279
gulkana,17.567,2.5,200.0,1031,-3.5005949550859,-2.9463095674321234,-0.0016611095387610852
gulkana,17.567,2.5,150.0,1764,-3.498933845547139,-3.232574533340921,0.0
gulkana,17.567,2.5,100.0,3880,-3.4956464796507714,-3.473617222690026,0.003287365896367689
gulkana,17.567,2.5,90.0,4797,-3.4966800157017284,-3.502229939656482,0.002253829845410671
