glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.4590944162913018,-1.5783632051122745,-0.0040199870527239945
gulkana,17.567,2.5,900.0,96,-3.5014817659723523,-1.869741446175767,-0.04640733673377451
gulkana,17.567,2.5,700.0,132,-3.4956343018011005,-2.2023726218154067,-0.04055987256252269
gulkana,17.567,2.5,500.0,217,-3.4959859234358297,-2.0511327536090773,-0.04091149419725193
gulkana,17.567,2.5,375.0,363,-3.469630684434989,-1.9591463331969996,-0.01455625519641135
gulkana,17.567,2.5,275.0,605,-3.451054442185854,-2.4223405631225563,0.00401998705272355
gulkana,17.567,2.5,200.0,1031,-3.3625296092210473,-2.797679763201743,0.0925448200175305
gulkana,17.567,2.5,150.0,1764,-3.31877348873845,-3.0392381658933663,0.13630094050012787
gulkana,17.567,2.5,100.0,3880,-3.310104381862195,-3.2844748969615116,0.14497004737638264
gulkana,17.567,2.5,70.0,7966,-3.3032434041709577,-3.314382536003894,0.15183102506762003
