glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.3456113922200506,-1.559267102886088,0.0198436803238251,0.06973077035995612
gulkana,17.567,2.5,1100.0,69,-3.4081787530815446,-2.070696041962613,,0.007163409498462059
gulkana,17.567,2.5,1000.0,90,-3.487306983398471,-2.690613930502067,-0.1218519108545952,-0.07196482081846423
gulkana,17.567,2.5,950.0,96,-3.496206749945762,-2.542274599953997,,-0.08086458736575519
gulkana,17.567,2.5,900.0,96,-3.472315946729821,-1.8521649419938635,,-0.05697378414981413
gulkana,17.567,2.5,850.0,103,-3.4365066800636774,-1.9651269974798065,,-0.021164517483670764
gulkana,17.567,2.5,800.0,107,-3.43997849707288,-2.074594790807659,-0.074523424529004,-0.024636334492873502
gulkana,17.567,2.5,750.0,122,-3.455863063298081,-1.4007207299650017,,-0.04052090071807424
gulkana,17.567,2.5,700.0,132,-3.4216531679103577,-2.1301633240908697,-0.056198095366482,-0.006311005330351005
gulkana,17.567,2.5,650.0,148,-3.4144102998775137,-1.5143178898835004,,0.0009318627024930137
gulkana,17.567,2.5,600.0,157,-3.4429921321303247,-1.7146884791554575,-0.077537059586449,-0.027649969550318065
gulkana,17.567,2.5,550.0,178,-3.4144430246152897,-1.7261002626247781,,0.0008991379647169673
gulkana,17.567,2.5,500.0,217,-3.4851212898802006,-2.072153194857239,-0.1196662173363249,-0.06977912730019398
gulkana,17.567,2.5,475.0,244,-3.44444033824428,-1.969046521069515,,-0.029098175664273196
gulkana,17.567,2.5,450.0,263,-3.43908418060124,-1.972409730463965,-0.0736291080573643,-0.023742018021233324
gulkana,17.567,2.5,425.0,298,-3.426661057766376,-1.634627208754344,,-0.011318895186369193
gulkana,17.567,2.5,400.0,325,-3.439401823121408,-1.9851844819695104,-0.0739467505775319,-0.024059660541401406
gulkana,17.567,2.5,375.0,363,-3.4153421625800067,-1.959792793609311,,0.0
gulkana,17.567,2.5,350.0,424,-3.4029105370711745,-1.9685200139574583,-0.0374554645272988,0.012431625508832145
gulkana,17.567,2.5,325.0,450,-3.3785840773974565,-2.1857665408853397,,0.03675808518255019
gulkana,17.567,2.5,300.0,495,-3.405427117768637,-2.342455913189285,-0.0399720452247613,0.009915044811369622
gulkana,17.567,2.5,250.0,693,-3.396756327043592,-2.625355341063897,-0.0313012544997159,0.018585835536414574
gulkana,17.567,2.5,200.0,1031,-3.365455072543876,-2.824737831124486,0.0,0.049887090036130566
gulkana,17.567,2.5,180.0,1229,-3.3720509103503025,-3.06056675137949,,0.0432912522297042
gulkana,17.567,2.5,150.0,1764,-3.371231999352331,-3.11223708458071,,0.04411016322767569
gulkana,17.567,2.5,120.0,2720,-3.352181939718728,-3.2609166130779785,,0.06316022286127865
gulkana,17.567,2.5,100.0,3880,-3.35497243704844,-3.332877528004643,,0.0603697255315665
