glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,2.5,1200.0,64,-3.661803567898243,-1.7451861579845136,0.07295210841530686
gulkana,17.567,2.5,1100.0,69,-3.9564474227566,-2.3670622055313983,-0.22169174644305034
gulkana,17.567,2.5,1000.0,90,-3.9168097111247673,-2.9386807186096418,-0.1820540348112174
gulkana,17.567,2.5,900.0,96,-3.954998288845329,-2.0172445708231543,-0.2202426125317789
gulkana,17.567,2.5,800.0,107,-3.944092745469992,-2.309096494736944,-0.209337069156442
gulkana,17.567,2.5,700.0,132,-3.8903824405789447,-2.3892009896012194,-0.1556267642653948
gulkana,17.567,2.5,650.0,148,-3.863413032666984,-1.7300665967669129,-0.12865735635343434
gulkana,17.567,2.5,600.0,157,-3.88330615496701,-1.920330791653059,-0.14855047865346016
gulkana,17.567,2.5,550.0,178,-3.893975362100999,-1.9587795197873927,-0.15921968578744927
gulkana,17.567,2.5,500.0,217,-3.887636005097365,-2.2667846369508404,-0.15288032878381497
gulkana,17.567,2.5,450.0,263,-3.837582869876493,-2.178257375265661,-0.10282719356294301
gulkana,17.567,2.5,400.0,325,-3.758781664043378,-2.175003814638059,-0.024025987729828113
gulkana,17.567,2.5,350.0,424,-3.710729688583722,-2.1520484407393434,0.02402598772982767
gulkana,17.567,2.5,300.0,495,-3.5887242851328875,-2.500119887500442,0.14603139118066233
gulkana,17.567,2.5,250.0,693,-3.698443330434208,-2.88148822948273,0.036312345879341734
gulkana,17.567,2.5,200.0,1031,-3.639324511733898,-3.066639914943854,0.09543116457965173
gulkana,17.567,2.5,175.0,1284,-3.632933192670114,-3.2658283168498525,0.10182248364343582
gulkana,17.567,2.5,150.0,1764,-3.59141588917387,-3.3160967102994405,0.14333978713967976
gulkana,17.567,2.5,125.0,2488,-3.573511488453559,-3.4851637713100825,0.16124418785999106
gulkana,17.567,2.5,100.0,3880,-3.551979602112826,-3.529447624409697,0.18277607420072384
gulkana,17.567,2.5,90.0,4797,-3.5432336489101965,-3.545031863057559,0.19152202740335333
gulkana,17.567,2.5,80.0,6075,-3.5399068596723025,-3.5561928350660903,0.19484881664124742
