glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
gulkana,17.567,3.0,5,9,-4.630420199743873,-4.439331763829813,0.822712827598485
gulkana,17.567,3.0,10,10,-5.436873692559108,-4.1447613303711455,0.016259334783249813
gulkana,17.567,3.0,20,21,-5.779651221665584,-4.965036193104958,-0.32651819432322604
gulkana,17.567,3.0,35,34,-5.658167104003299,-5.567644086179054,-0.2050340766609411
gulkana,17.567,3.0,50,52,-5.650045975655817,-4.979820000617794,-0.19691294831345907
gulkana,17.567,3.0,75,73,-5.594514342947346,-4.956044488207279,-0.14138131560498834
gulkana,17.567,3.0,100,102,-5.450841386363559,-5.252915356723042,0.002291640978798526
gulkana,17.567,3.0,150,152,-5.4460317636604865,-4.997833450243666,0.0071012636818714725
gulkana,17.567,3.0,175,174,-5.540850371374524,-5.3591476002000835,-0.08771734403216591
gulkana,17.567,3.0,200,200,-5.509959694877194,-5.531462261734264,-0.05682666753483634
gulkana,17.567,3.0,225,223,-5.409394040471529,-5.483759242597423,0.04373898687082889
gulkana,17.567,3.0,250,250,-5.451152123751387,-5.363302540155084,0.001980903590970584
gulkana,17.567,3.0,275,279,-5.421615816734802,-5.236964128627934,0.0315172106075563
gulkana,17.567,3.0,300,297,-5.542284949573039,-5.3822367199427195,-0.08915192223068136
gulkana,17.567,3.0,400,392,-5.48753155883808,-5.570890534653433,-0.03439853149572247
gulkana,17.567,3.0,450,457,-5.371306564227234,-5.1840261946358055,0.08182646311512354
gulkana,17.567,3.0,500,495,-5.482269032134472,-5.466971161561248,-0.029136004792113646
gulkana,17.567,3.0,550,546,-5.454731084551806,-5.3953918310084505,-0.0015980572094482781
gulkana,17.567,3.0,600,599,-5.388362635553753,-5.348787585909912,0.06477039178860533
gulkana,17.567,3.0,670,660,-5.477828687097998,-5.4560422019334425,-0.02469565975563981
gulkana,17.567,3.0,700,696,-5.457661266689161,-5.305790594614577,-0.004528239346803353
gulkana,17.567,3.0,750,744,-5.463164350054066,-5.414544121588741,-0.010031322711707702
gulkana,17.567,3.0,800,800,-5.49254994375586,-5.557175199049735,-0.039416916413501646
gulkana,17.567,3.0,850,840,-5.492976795864224,-5.516693124361939,-0.039843768521865996
gulkana,17.567,3.0,900,897,-5.4238090177443254,-5.37445721049588,0.029324009598032497
gulkana,17.567,3.0,950,951,-5.448535859945322,-5.428092831036161,0.004597167397036195
gulkana,17.567,3.0,1000,1000,-5.453133027342358,-5.416255763345173,0.0
