glacier,area_km2,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
gulkana,17.567,5,5,-3.1273148571947065,-2.7338928191776963,2.5001866991924944
gulkana,17.567,10,10,-5.07414424594237,-4.280639127400838,0.5533573104448308
gulkana,17.567,20,19,-5.53302583889433,-5.322904546858384,0.09447571749287054
gulkana,17.567,35,36,-5.11182691823211,-4.667249820404302,0.5156746381550912
gulkana,17.567,50,49,-5.8319596887814384,-5.7984465312681275,-0.2044581323942376
gulkana,17.567,75,75,-5.345921056049957,-4.868458265699541,0.2815805003372436
gulkana,17.567,100,103,-5.034539876187877,-4.515942656181394,0.5929616801993243
gulkana,17.567,150,151,-5.353758118376128,-5.091306328478565,0.27374343801107326
gulkana,17.567,175,173,-5.647466812634586,-5.437317566166955,-0.0199652562473851
gulkana,17.567,200,198,-5.603031990185366,-5.450296217960424,0.024469566201834603
gulkana,17.567,225,224,-5.470718275471978,-5.166948586502886,0.15678328091522253
gulkana,17.567,250,249,-5.564848806133739,-5.313284066253503,0.06265275025346195
gulkana,17.567,275,271,-5.6667447818322625,-5.4836139112313536,-0.03924322544506165
gulkana,17.567,300,296,-5.627501556387201,-5.458542420348696,0.0
