glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
gulkana,17.567,1.0,5,9,2.7073150082511215,2.7586694771434574,0.567033211313126
gulkana,17.567,1.0,10,10,2.2519765549811903,2.731547187729226,0.11169475804319484
gulkana,17.567,1.0,20,21,2.0006593186977253,2.283914862778014,-0.1396224782402702
gulkana,17.567,1.0,35,34,2.0798294616933557,2.1288260317673346,-0.06045233524463978
gulkana,17.567,1.0,50,52,2.096138355172706,2.3971618102915544,-0.04414344176528928
gulkana,17.567,1.0,75,73,2.1152149999492242,2.303888929947145,-0.025066796988771234
gulkana,17.567,1.0,100,102,2.1890507481562604,2.266715565648769,0.048768951218264966
gulkana,17.567,1.0,150,152,2.1447830646545376,2.3018550904849677,0.004501267716542134
gulkana,17.567,1.0,175,174,2.1527803867641016,2.198206798727066,0.012498589826106077
gulkana,17.567,1.0,200,200,2.1699763999444066,2.181200117875759,0.029694603006411135
gulkana,17.567,1.0,225,223,2.176535154107945,2.1431111320175478,0.036253357169949485
gulkana,17.567,1.0,250,250,2.1694802939347126,2.207062047637237,0.02919849699671717
gulkana,17.567,1.0,275,279,2.1725488576695335,2.211528460135245,0.032267060731538066
gulkana,17.567,1.0,300,297,2.1402817969379955,2.18722735641549,0.0
