glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
gulkana,17.567,1.0,5,9,2.806538010251673,2.7586694771434574,0.6906910297794586
gulkana,17.567,1.0,10,10,2.3919469910778135,2.731547187729226,0.2761000106055991
gulkana,17.567,1.0,20,21,2.234066502115869,2.283914862778014,0.11821952164365479
gulkana,17.567,1.0,35,34,2.0406302881181126,2.1288260317673346,-0.07521669235410178
gulkana,17.567,1.0,50,52,2.2518161980988918,2.3971618102915544,0.13596921762667735
gulkana,17.567,1.0,75,73,2.1828002700890177,2.303888929947145,0.06695328961680325
gulkana,17.567,1.0,100,102,2.1992956918500886,2.266715565648769,0.08344871137787413
gulkana,17.567,1.0,150,152,2.1593771870429666,2.3018550904849677,0.04353020657075213
gulkana,17.567,1.0,175,174,2.1511013787825926,2.198206798727066,0.03525439831037813
gulkana,17.567,1.0,200,200,2.128367137535775,2.181200117875759,0.012520157063560688
gulkana,17.567,1.0,225,223,2.131944322154548,2.1431111320175478,0.016097341682333788
gulkana,17.567,1.0,250,250,2.163809634048295,2.207062047637237,0.04796265357608043
gulkana,17.567,1.0,275,279,2.1540807453581525,2.211528460135245,0.038233764885938104
gulkana,17.567,1.0,300,297,2.1158469804722144,2.18722735641549,0.0
