glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kahiltna,479.521,2.5,3000.0,405,-1.0413823522309331,4.852672989882174,-0.06833766526793217
kahiltna,479.521,2.5,2200.0,605,-1.0113629232736994,5.119792269356911,-0.03831823631069842
kahiltna,479.521,2.5,1600.0,893,-0.9937612375852705,4.003591332737129,-0.020716550622269514
kahiltna,479.521,2.5,1200.0,1324,-0.9569439929182129,3.552180210021562,0.01610069404478809
kahiltna,479.521,2.5,900.0,2009,-0.9426003855570553,2.954612605379747,0.030444301405945673
kahiltna,479.521,2.5,700.0,2917,-0.9736017609599794,2.065699987695974,-0.0005570739969784633
kahiltna,479.521,2.5,525.0,4752,-0.9641472425368143,1.337117663317657,0.008897444426186674
kahiltna,479.521,2.5,400.0,7496,-0.9855809004456246,0.4764147540954026,-0.012536213482623682
kahiltna,479.521,2.5,300.0,12663,-0.9663563446579414,-0.17291572700168287,0.006688342305059547
kahiltna,479.521,2.5,250.0,17892,-0.9724876129660226,-0.49638398478443546,0.0005570739969783522
