glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kennicott,292.531,2.5,2000.0,337,1.9939856027409129,6.306786741951217,-0.060817161105724216
kennicott,292.531,2.5,1800.0,371,1.987277633896288,6.19359576952177,-0.06752512995034898
kennicott,292.531,2.5,1600.0,473,2.0121497020047903,5.849276243174346,-0.04265306184184681
kennicott,292.531,2.5,1400.0,560,2.0131398616590834,5.622780400072041,-0.04166290218755364
kennicott,292.531,2.5,1200.0,707,2.0303897042168315,5.404676225567379,-0.024413059629805556
kennicott,292.531,2.5,1100.0,815,2.0207253181311344,5.318535654919248,-0.03407744571550264
kennicott,292.531,2.5,1000.0,913,2.0439323584859155,4.690130878440419,-0.010870405360721591
kennicott,292.531,2.5,900.0,1116,2.0463272736791085,4.929815281506361,-0.008475490167528577
kennicott,292.531,2.5,800.0,1366,2.0688610066814457,4.276112566637902,0.01405824283480861
kennicott,292.531,2.5,700.0,1703,2.063278254014165,4.062530230738234,0.008475490167528132
kennicott,292.531,2.5,600.0,2256,2.080640891120507,4.094606282334076,0.025838127273869915
kennicott,292.531,2.5,525.0,2796,2.092600586629218,3.486741993944452,0.037797822782581036
kennicott,292.531,2.5,450.0,3681,2.1145389007234763,3.2911840815054574,0.05973613687683921
kennicott,292.531,2.5,375.0,5147,2.133174738087285,3.0531863940177493,0.0783719742406479
kennicott,292.531,2.5,300.0,7784,2.1578078228891835,2.7611657378340317,0.10300505904254642
kennicott,292.531,2.5,250.0,10970,2.1768129619920984,2.591655246666948,0.12201019814546132
