glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
kennicott,292.531,2.5,1200.0,707,2.3269609249823366,5.629316348795898,-0.0454901166686712
kennicott,292.531,2.5,1000.0,913,2.3586008653606436,4.938072187973409,-0.013850176290364224
kennicott,292.531,2.5,800.0,1366,2.411938245362764,4.562972379246258,0.03948720371175618
kennicott,292.531,2.5,700.0,1703,2.367067810503024,4.3197312440865545,-0.005383231147984002
kennicott,292.531,2.5,600.0,2256,2.3444387527438133,4.3070754012536545,-0.028012288907194538
kennicott,292.531,2.5,500.0,3066,2.362546055522616,3.858452037657362,-0.009904986128391968
kennicott,292.531,2.5,450.0,3681,2.379556351391966,3.5365574801041144,0.007105309740958354
kennicott,292.531,2.5,400.0,4598,2.3784558483601974,3.4969345316501586,0.00600480670918957
kennicott,292.531,2.5,350.0,5843,2.3814098871763787,3.179790559509261,0.008958845525370851
kennicott,292.531,2.5,300.0,7784,2.372451041651008,2.975280438433448,0.0
