glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kennicott,292.531,2.5,2000.0,337,2.344568337368238,6.4952831023559385,0.0138328485084215
kennicott,292.531,2.5,1600.0,473,2.3462524930476354,6.026485615391509,0.0155170041878189
kennicott,292.531,2.5,1200.0,707,2.332378780820396,5.589913969200199,0.0016432919605797
kennicott,292.531,2.5,1000.0,913,2.3371972904410265,4.8919440741859965,0.0064618015812101
kennicott,292.531,2.5,800.0,1366,2.329092196899237,4.468642267356451,-0.0016432919605793
kennicott,292.531,2.5,600.0,2256,2.3228404538517453,4.288397841505518,-0.007895035008071
kennicott,292.531,2.5,450.0,3681,2.3220641505752058,3.473318038461224,-0.0086713382846106
kennicott,292.531,2.5,250.0,10970,2.316826999118643,2.725480197842796,-0.0139084897411732
kennicott,292.531,2.5,1800.0,371,2.337073854835081,6.397157307936035,0.0123094387825899
kennicott,292.531,2.5,1400.0,560,2.3439469063737457,5.82894051896582,0.0191824903212545
kennicott,292.531,2.5,1100.0,815,2.3349701257545137,5.527338663191888,0.0102057097020225
kennicott,292.531,2.5,900.0,1116,2.3240674494246467,5.125925263127447,-0.0006969666278444
kennicott,292.531,2.5,700.0,1703,2.3240340185509183,4.270005901272633,-0.0007303975015728
kennicott,292.531,2.5,525.0,2796,2.325461382680336,3.683163964592081,0.0006969666278449
kennicott,292.531,2.5,375.0,5147,2.3218711758449806,3.224690240245801,-0.0028932402075105
kennicott,292.531,2.5,300.0,7784,2.3198769535737904,2.9140401249334382,-0.0048874624787007
