glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kennicott,292.531,2.5,3000.0,206,2.3605021095946928,6.478470312823236,0.0281511585501661
kennicott,292.531,2.5,2000.0,337,2.3476808491639707,6.495758629605157,0.015329898119444
kennicott,292.531,2.5,1500.0,518,2.3401290630859606,6.213878749720847,0.0077781120414339
kennicott,292.531,2.5,1100.0,815,2.335738092200901,5.526678920053789,0.0033871411563741
kennicott,292.531,2.5,850.0,1199,2.328963809888153,4.435800248365077,-0.0033871411563737
kennicott,292.531,2.5,650.0,1920,2.323808573351757,4.172655826120981,-0.0085423776927697
kennicott,292.531,2.5,500.0,3066,2.324647975927261,3.815399660227089,-0.0077029751172656
kennicott,292.531,2.5,375.0,5147,2.3220178635442648,3.224407288434207,-0.0103330875002618
kennicott,292.531,2.5,275.0,9124,2.3172947845161853,2.773945303704263,0.0014800750005687
kennicott,292.531,2.5,200.0,16875,2.314334634515048,2.5016719463396973,-0.0014800750005683
kennicott,292.531,2.5,150.0,29648,2.301641722386949,2.3436636137132583,0.0
