glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kennicott,292.531,2.5,2000.0,337,2.3497506827258987,6.514849131378636,0.014174103578081354
kennicott,292.531,2.5,1500.0,518,2.342548183617561,6.226318377175373,0.006971604469743653
kennicott,292.531,2.5,1100.0,815,2.337713310440694,5.542703663982452,0.0021367312928766147
kennicott,292.531,2.5,850.0,1199,2.332313589949715,4.451098437401169,-0.0032629891981024173
kennicott,292.531,2.5,650.0,1920,2.3274590810754834,4.182403399343814,-0.008117498072333973
kennicott,292.531,2.5,500.0,3066,2.328732169732916,3.829254589695565,-0.006844409414901165
kennicott,292.531,2.5,375.0,5147,2.327871404364847,3.2380965999483537,-0.007705174782970392
kennicott,292.531,2.5,275.0,9124,2.3334398478549407,2.79608278934649,-0.0021367312928766147
kennicott,292.531,2.5,200.0,16875,2.3601137805318806,2.550975529965345,0.024537201384063234
kennicott,292.531,2.5,150.0,29648,2.3634089425986224,2.405941931577666,0.027832363450805087
