glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kennicott,292.531,2.5,2000.0,337,1.4263430192011326,6.051703975499327,-0.34625590230027314
kennicott,292.531,2.5,1800.0,371,1.4121157153895174,5.926898407444718,-0.36048320611188833
kennicott,292.531,2.5,1600.0,473,1.5379151646697224,5.621134597917306,-0.2346837568316833
kennicott,292.531,2.5,1400.0,560,1.5653297597745277,5.390829346865357,-0.20726916172687804
kennicott,292.531,2.5,1200.0,707,1.6308383488724418,5.17152176560715,-0.1417605726289639
kennicott,292.531,2.5,1100.0,815,1.6431953482582282,5.086616356947445,-0.12940357324317753
kennicott,292.531,2.5,1000.0,913,1.7392481387230905,4.468953589351402,-0.03335078277831527
kennicott,292.531,2.5,900.0,1116,1.7425331113425333,4.7209219164246194,-0.03006581015887244
kennicott,292.531,2.5,800.0,1366,1.8036449959531493,4.078125510538755,0.031046074451743566
kennicott,292.531,2.5,700.0,1703,1.8026647316602784,3.852190407793176,0.030065810158872663
kennicott,292.531,2.5,600.0,2256,1.8691631841627696,3.922971914528468,0.09656426266136386
kennicott,292.531,2.5,525.0,2796,1.9124100731305003,3.326621823310452,0.13981115162909452
kennicott,292.531,2.5,450.0,3681,1.964276657988648,3.153636049057717,0.19167773648724218
kennicott,292.531,2.5,375.0,5147,2.0054843536823648,2.9354104415591693,0.23288543218095903
kennicott,292.531,2.5,300.0,7784,2.0671355785972225,2.681401295342879,0.2945366570958168
kennicott,292.531,2.5,250.0,10970,2.0948175123995902,2.5302589547889713,0.3222185908981845
