glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
kennicott,292.531,3.0,5,5,0.733775305062083,1.5563250974383174,-0.051210903387192586
kennicott,292.531,3.0,10,13,1.259804386984675,1.80236071822279,0.4748181785353993
kennicott,292.531,3.0,20,19,0.8492479039524594,1.7293074812356557,0.06426169550318384
kennicott,292.531,3.0,35,36,0.6597962920014291,0.3263524177167893,-0.1251899164478465
kennicott,292.531,3.0,50,51,0.8650337514061017,1.1392626967166857,0.08004754295682615
kennicott,292.531,3.0,75,74,0.5481432148822513,0.33736848646306566,-0.23684299356702432
kennicott,292.531,3.0,100,96,0.6780439964246063,0.9271480554086157,-0.10694221202466925
kennicott,292.531,3.0,150,149,0.6438872194943084,0.43437413609779046,-0.1410989889549672
kennicott,292.531,3.0,200,205,0.8015061813725968,0.8275736329798768,0.01651997292332119
kennicott,292.531,3.0,300,297,0.7770244251853242,0.6676150442350915,-0.00796178326395136
kennicott,292.531,3.0,400,393,0.7855302470132388,0.8347933003471273,0.0005440385639632339
kennicott,292.531,3.0,450,455,0.7641115823039826,0.838989868999331,-0.020874626145293007
kennicott,292.531,3.0,500,504,0.7294527152002095,0.7469360871902666,-0.05553349324906609
kennicott,292.531,3.0,550,550,0.7712039308285785,0.743977222132008,-0.013782277620697059
kennicott,292.531,3.0,600,599,0.7548655193283995,0.6616643457417116,-0.030120689120876065
kennicott,292.531,3.0,670,657,0.7281928141731244,0.5428063989836791,-0.056793394276151155
kennicott,292.531,3.0,700,702,0.7194578834355854,0.6160763525225972,-0.06552832501369021
kennicott,292.531,3.0,750,758,0.7527617947304277,0.9024734602218021,-0.03222441371884788
kennicott,292.531,3.0,800,799,0.7913390697073979,0.8237875701725512,0.006352861258122289
kennicott,292.531,3.0,850,844,0.7583700636007915,0.7063146399154708,-0.02661614484848407
kennicott,292.531,3.0,900,892,0.7625069464715457,0.8348507396706628,-0.02247926197772987
kennicott,292.531,3.0,950,937,0.7263070065451949,0.6133151814540587,-0.05867920190408071
kennicott,292.531,3.0,1000,995,0.7849862084492756,0.7511027734044519,0.0
