glacier,area_km2,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
kennicott,292.531,5,5,5.747148530094372,6.594288319818455,5.194382546812234
kennicott,292.531,10,10,3.029557726611812,3.5145200319262466,2.476791743329674
kennicott,292.531,20,21,1.2027544606404,1.6013956262991844,0.6499884773582616
kennicott,292.531,35,34,-0.2685053395560494,-0.2227409419222661,-0.8212713228381877
kennicott,292.531,50,52,0.4372274178812232,0.47757924850925515,-0.11553856540091512
kennicott,292.531,75,74,0.5472184534708127,0.6488654223057676,-0.005547529811325669
kennicott,292.531,100,102,0.4233111055568495,0.9372120674677958,-0.12945487772528885
kennicott,292.531,150,150,0.14843916746617847,0.4009351896827009,-0.40432681581595986
kennicott,292.531,200,198,0.08507425316747153,0.273407016174455,-0.4676917301146668
kennicott,292.531,300,294,0.283005860163386,0.5372283873430183,-0.2697601231187523
kennicott,292.531,400,397,0.2897322956292321,0.6156991761576113,-0.26303368765290625
kennicott,292.531,450,445,0.3450439634746907,0.6662516140947007,-0.20772201980744764
kennicott,292.531,500,506,0.524591595566755,0.8687253343717718,-0.028174387715383276
kennicott,292.531,550,551,0.5553004551389522,0.9466996738062083,0.00253447185681388
kennicott,292.531,600,602,0.44403184508042504,0.8169404672560494,-0.10873413820171329
kennicott,292.531,670,669,0.416431054481035,0.7495689948740305,-0.13633492880110332
kennicott,292.531,700,699,0.47656413667475217,0.7333299333195828,-0.07620184660738616
kennicott,292.531,750,740,0.485357724172677,0.7618743625814192,-0.06740825910946135
kennicott,292.531,800,795,0.356095753648197,0.6277059267255725,-0.19667022963394132
kennicott,292.531,850,849,0.4371572297789381,0.7465751539593839,-0.11560875350320021
kennicott,292.531,900,910,0.5163472575893513,0.84413327983445,-0.036418725692787035
kennicott,292.531,950,945,0.4785147792731683,0.7981727622346456,-0.07425120400897
kennicott,292.531,1000,999,0.5527659832821383,0.8704360711920702,0.0
