glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
kennicott,292.531,1.0,5,5,5.419019426092619,6.035013180270323,-0.46341890626109095
kennicott,292.531,1.0,10,13,6.312270264132464,6.557730242026985,0.4298319317787538
kennicott,292.531,1.0,20,19,5.9703767463181725,6.331906595304979,0.08793841396446211
kennicott,292.531,1.0,35,36,5.7318132382173985,5.6153800126762805,-0.15062509413631187
kennicott,292.531,1.0,50,51,6.07413306875012,6.171757947486527,0.19169473639640966
kennicott,292.531,1.0,75,74,5.6708260127055015,5.564205945928454,-0.21161231964820892
kennicott,292.531,1.0,100,96,5.720615808222504,5.852205147949346,-0.1618225241312068
kennicott,292.531,1.0,150,149,5.8642034775891885,5.793448615476626,-0.018234854764521913
kennicott,292.531,1.0,200,205,5.915480826573109,5.942479678290068,0.033042494219398755
kennicott,292.531,1.0,300,297,5.874188047870654,5.821454104235136,-0.008250284483056092
kennicott,292.531,1.0,400,393,5.8376583937804325,5.85306624628111,-0.04477993857327789
kennicott,292.531,1.0,450,455,5.885048183992565,5.934181858703666,0.002609851638854188
kennicott,292.531,1.0,500,504,5.8410142694833125,5.83055425211441,-0.041424062870397904
kennicott,292.531,1.0,550,550,5.879588187737641,5.831848622552714,-0.002850144616069805
kennicott,292.531,1.0,600,599,5.892679921465865,5.85169626802583,0.010241589112154337
kennicott,292.531,1.0,670,657,5.876558077095754,5.768293519644078,-0.005880255257956435
kennicott,292.531,1.0,700,702,5.868180935631269,5.806577323060933,-0.014257396722441307
kennicott,292.531,1.0,750,758,5.861774272497851,5.9362951087392695,-0.02066405985585895
kennicott,292.531,1.0,800,799,5.917229305218848,5.918625612914268,0.03479097286513788
kennicott,292.531,1.0,850,844,5.885396160970015,5.839880497072584,0.0029578286163047807
kennicott,292.531,1.0,900,892,5.868709797263276,5.888891299264344,-0.01372853509043459
kennicott,292.531,1.0,950,937,5.855332381726228,5.785035533558459,-0.027105950627482223
kennicott,292.531,1.0,1000,995,5.88243833235371,5.861038216499689,0.0
