glacier,area_km2,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
kennicott,292.531,5,5,3.0722543871827095,1.5563250974383174,2.5633628745796426
kennicott,292.531,10,13,2.873478975158056,1.80236071822279,2.364587462554989
kennicott,292.531,20,19,1.8609858773816188,1.7293074812356557,1.352094364778552
kennicott,292.531,35,36,0.18212903277208203,0.3263524177167893,-0.32676247983098483
kennicott,292.531,50,51,1.0223375201539728,1.1392626967166857,0.513446007550906
kennicott,292.531,75,74,0.07342171575248088,0.33736848646306566,-0.43546979685058596
kennicott,292.531,100,96,0.7523294664024466,0.9271480554086157,0.2434379537993797
kennicott,292.531,150,149,0.2338299177878902,0.43437413609779046,-0.27506159481517667
kennicott,292.531,200,205,0.5434341127838529,0.8275736329798768,0.03454260018078603
kennicott,292.531,300,297,0.3863802129549665,0.6676150442350915,-0.12251129964810037
kennicott,292.531,400,393,0.48876602862997576,0.8347933003471273,-0.020125483973091107
kennicott,292.531,450,455,0.5167552351007751,0.838989868999331,0.007863722497708281
kennicott,292.531,500,504,0.422683454292593,0.7469360871902666,-0.08620805831047385
kennicott,292.531,550,550,0.488612038601854,0.743977222132008,-0.020279474001212883
kennicott,292.531,600,599,0.3969067408142326,0.6616643457417116,-0.11198477178883426
kennicott,292.531,670,657,0.35600047562249415,0.5428063989836791,-0.15289103698057271
kennicott,292.531,700,702,0.40011384778967773,0.6160763525225972,-0.10877766481338913
kennicott,292.531,750,758,0.5612649717870326,0.9024734602218021,0.05237345918396574
kennicott,292.531,800,799,0.5309295024609959,0.8237875701725512,0.02203798985792904
kennicott,292.531,850,844,0.46756397937465355,0.7063146399154708,-0.041327533228413316
kennicott,292.531,900,892,0.5537063053963909,0.8348507396706628,0.04481479279332401
kennicott,292.531,950,937,0.3837673908686252,0.6133151814540587,-0.12512412173444165
kennicott,292.531,1000,995,0.5088915126030669,0.7511027734044519,0.0
