glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
lemon_creek,9.528,2.5,2000.0,19,2.142338441183949,2.0486247978638787,-0.007851140332162831
lemon_creek,9.528,2.5,1500.0,21,2.145597783582974,2.474273269691954,-0.004591797933137798
lemon_creek,9.528,2.5,1200.0,33,2.1338080368357737,2.4320068181318217,-0.016381544680338145
lemon_creek,9.528,2.5,900.0,45,2.1755138270024323,2.616525309345604,0.025324245486320507
lemon_creek,9.528,2.5,700.0,64,2.135151039308677,2.6722672581512357,-0.015038542207435057
lemon_creek,9.528,2.5,500.0,114,2.1157818234747268,2.212252066510031,-0.03440775804138507
lemon_creek,9.528,2.5,375.0,183,2.1552350994765885,2.4803923710929476,0.0050455179604766975
lemon_creek,9.528,2.5,275.0,336,2.166640249618152,2.4234764914877562,0.01645066810204021
lemon_creek,9.528,2.5,200.0,598,2.139493544694463,2.3370504324332755,-0.010696036821648658
lemon_creek,9.528,2.5,150.0,1004,2.1753529980333237,2.3567393951469064,0.02516341651721188
lemon_creek,9.528,2.5,100.0,2217,2.154781379449249,2.233067384911121,0.004591797933137354
lemon_creek,9.528,2.5,70.0,4440,2.1571641141089213,2.175354310724236,0.006974532592809446
