glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
lemon_creek,9.528,2.5,1200.0,33,2.1337985532255805,2.431898469164158,-0.022846934438824906
lemon_creek,9.528,2.5,900.0,45,2.175454435824945,2.6162503871257994,0.01880894816053935
lemon_creek,9.528,2.5,700.0,64,2.1351641774320775,2.672306940898754,-0.02148131023232791
lemon_creek,9.528,2.5,500.0,114,2.1163131319179107,2.215741961543077,-0.04033235574649474
lemon_creek,9.528,2.5,375.0,183,2.154552788363171,2.4758048772393093,-0.0020926993012344575
lemon_creek,9.528,2.5,275.0,336,2.1664529350198762,2.421997043102183,0.009807447355470789
lemon_creek,9.528,2.5,200.0,598,2.1424470649854865,2.335533666679345,-0.01419842267891891
lemon_creek,9.528,2.5,150.0,1004,2.1821973808325748,2.3647024076438394,0.025551893168169304
lemon_creek,9.528,2.5,100.0,2217,2.15873818696564,2.237690630168818,0.0020926993012344575
lemon_creek,9.528,2.5,70.0,4440,2.1593934491380464,2.177476124652561,0.0027479614736409808
