glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
lemon_creek,9.528,3.0,5,5,-0.31226572467734925,-0.9220391100661779,0.13633942218142825
lemon_creek,9.528,3.0,10,10,-0.44592791752346556,-0.17856427023938132,0.002677229335311948
lemon_creek,9.528,3.0,20,19,-0.4739054800047028,0.4896832222224111,-0.02530033314592528
lemon_creek,9.528,3.0,35,35,-0.6442154903299253,-0.36897184688452256,-0.1956103434711478
lemon_creek,9.528,3.0,50,52,-0.6132782979149154,-0.6932674304463492,-0.1646731510561379
lemon_creek,9.528,3.0,75,75,-0.5163737788908236,-0.48283087556477805,-0.06776863203204608
lemon_creek,9.528,3.0,100,102,-0.5165819421491937,-0.3294543991779824,-0.06797679529041623
lemon_creek,9.528,3.0,150,148,-0.43105376224868497,-0.4626208953945742,0.017551384610092535
lemon_creek,9.528,3.0,200,199,-0.5681541976365512,-0.5591161745806722,-0.11954905077777367
lemon_creek,9.528,3.0,300,303,-0.4879123242902128,-0.45403226851679035,-0.0393071774314353
lemon_creek,9.528,3.0,400,402,-0.5157762453091648,-0.4736313256085498,-0.06717109845038727
lemon_creek,9.528,3.0,450,454,-0.5927717936901351,-0.5972231168649397,-0.1441666468313576
lemon_creek,9.528,3.0,500,499,-0.49852960519293,-0.45150389102562627,-0.04992445833415249
lemon_creek,9.528,3.0,550,549,-0.46320059238039435,-0.4259780126266954,-0.014595445521616845
lemon_creek,9.528,3.0,600,598,-0.4614158769521164,-0.43844007794612394,-0.012810730093338885
lemon_creek,9.528,3.0,670,670,-0.49228251687525626,-0.45515650424613613,-0.043677370016478756
lemon_creek,9.528,3.0,700,700,-0.4614175485004779,-0.36972142234104954,-0.012812401641700388
lemon_creek,9.528,3.0,750,747,-0.5414649832822576,-0.5022840662584097,-0.09285983642348006
lemon_creek,9.528,3.0,800,805,-0.49056337710222886,-0.46406263998791114,-0.041958230243451355
lemon_creek,9.528,3.0,850,847,-0.43439870346167253,-0.4143143918113136,0.014206443397104973
lemon_creek,9.528,3.0,900,903,-0.4901452375872988,-0.4538312572546699,-0.04154009072852127
lemon_creek,9.528,3.0,950,954,-0.4490677346022498,-0.40488572311994414,-0.00046258774347229803
lemon_creek,9.528,3.0,1000,995,-0.4486051468587775,-0.40845786406369794,0.0
