glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
taku,521.396,3.0,5,5,7.137339424527106,9.29587133234087,2.3948150906982457
taku,521.396,3.0,10,10,3.127455671180463,-0.11614380957498156,-1.615068662648397
taku,521.396,3.0,20,20,4.3354041909726835,3.6617004510749624,-0.4071201428561766
taku,521.396,3.0,35,34,4.359108670145882,6.219473868853613,-0.3834156636829782
taku,521.396,3.0,50,49,4.709844553395427,6.499649636482532,-0.032679780433433336
taku,521.396,3.0,75,77,4.431470232194818,4.5535737794278655,-0.311054101634042
taku,521.396,3.0,100,100,4.763510230216793,4.88143747384818,0.020985896387933245
taku,521.396,3.0,150,148,4.4529011225706885,4.762946297400444,-0.2896232112581716
taku,521.396,3.0,200,192,4.696035034286801,4.813189861812027,-0.04648929954205894
taku,521.396,3.0,300,299,4.812301255362467,5.074125053428834,0.06977692153360682
taku,521.396,3.0,400,405,4.74252433382886,4.766796158388563,0.0
