glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
wolverine,16.749,2.5,2000.0,17,4.354506278092781,4.789920958716781,0.010042735328483765
wolverine,16.749,2.5,1500.0,29,4.309362017405621,2.020030243623668,-0.03510152535867572
wolverine,16.749,2.5,1200.0,45,4.437925527612001,3.5618916740395745,0.0934619848477043
wolverine,16.749,2.5,900.0,65,4.363719688557637,4.038739375488954,0.01925614579334045
wolverine,16.749,2.5,700.0,93,4.400582125924581,4.1032835866278585,0.056118583160284174
wolverine,16.749,2.5,500.0,166,4.383474948004004,5.278360135761302,0.03901140523970703
wolverine,16.749,2.5,375.0,288,4.350207885613498,4.442908414819708,0.005744342849201445
wolverine,16.749,2.5,275.0,533,4.338719199915095,4.366229583943025,-0.005744342849201445
wolverine,16.749,2.5,200.0,1070,4.325549547496817,3.843441798135181,-0.0189139952674795
wolverine,16.749,2.5,150.0,1941,4.316314172451789,3.7462671438338147,-0.02814937031250775
wolverine,16.749,2.5,100.0,4150,4.317715987635806,3.8908874639663926,-0.02674755512849103
wolverine,16.749,2.5,70.0,8111,4.336243574134608,4.192769405732914,-0.008219968629688879
