glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
wolverine,16.749,2.5,1200.0,45,4.437877820117176,3.561856270421073,0.09196264089342421
wolverine,16.749,2.5,900.0,65,4.3638895990963995,4.038987835925029,0.017974419872647474
wolverine,16.749,2.5,700.0,93,4.400376578564925,4.102660614988718,0.05446139934117333
wolverine,16.749,2.5,500.0,166,4.383424435366754,5.278283720455147,0.037509256143001934
wolverine,16.749,2.5,375.0,288,4.349784299740236,4.437673677802844,0.003869120516483804
wolverine,16.749,2.5,275.0,533,4.3387246795012215,4.371417198709349,-0.007190499722530497
wolverine,16.749,2.5,200.0,1070,4.33300251967869,3.8627127458190835,-0.012912659545062155
wolverine,16.749,2.5,150.0,1941,4.338560561158905,3.7929133690224566,-0.0073546180648467185
wolverine,16.749,2.5,100.0,4150,4.329548332821292,3.915509654364001,-0.016366846402459778
wolverine,16.749,2.5,70.0,8111,4.342046058707268,4.203221949316364,-0.003869120516483804
