kind,wf,L,dLdwf
dense,0.7,632047942.5189452,
dense,0.704,631968492.6786088,
dense,0.708,630641302.732553,
dense,0.712,630127661.4978728,
dense,0.716,629177609.3791863,
dense,0.72,630122246.1224083,
dense,0.724,629194506.7775054,
dense,0.728,628353301.0855718,
dense,0.732,627803334.9998084,
dense,0.736,627803728.929385,
dense,0.74,627336512.4452124,
dense,0.744,626405782.9100056,
dense,0.748,625917133.8501419,
dense,0.752,626008427.1822141,
dense,0.756,625045541.0765331,
dense,0.76,624994277.4835393,
dense,0.764,624135492.6720781,
dense,0.768,623634492.1805952,
dense,0.772,623678768.7643644,
dense,0.776,623196572.0569824,
dense,0.78,622260218.9531939,
dense,0.784,621352499.825717,
dense,0.788,621343554.9635466,
dense,0.792,621376271.6935303,
dense,0.796,619926144.4261724,
dense,0.7999999999999999,619985282.2127752,
dense,0.8039999999999999,619519362.9376383,
dense,0.8079999999999999,619084705.1219745,
dense,0.8119999999999999,618116723.1740487,
dense,0.816,617637730.5806991,
dense,0.82,617629402.44838,
dense,0.824,616692225.6874919,
dense,0.828,615827871.3303212,
dense,0.832,615364802.5757257,
dense,0.836,615358182.9608861,
dense,0.84,614498119.451933,
dense,0.844,613995512.5168549,
dense,0.848,613574004.8760396,
dense,0.852,613112122.9192685,
dense,0.856,611703217.670941,
dense,0.86,611786550.0234181,
dense,0.864,610807704.1868298,
dense,0.868,610371621.6863284,
dense,0.872,609915278.4639367,
dense,0.876,609485120.2868515,
dense,0.88,609007350.9361092,
grad,0.7,632047942.5189402,18787686400.0
grad,0.7224999999999999,629730650.6281654,-86913109196800.0
grad,0.745,626967455.3364811,-2.201014187642061e+16
grad,0.7675,623669254.7433279,5.958442450996261e+24
grad,0.79,621337900.8213224,78004130676736.0
grad,0.8125,618066918.5646528,nan
grad,0.835,615361087.4491355,787476185088.0
grad,0.8574999999999999,611718028.2914422,-6.74876149549297e+24
grad,0.88,609007350.8899301,-2.4472800618421944e+18
